지점,일시,풍향(deg),풍속(KT),순간풍속(KT),시정(m),일기현상,전운량(1/8),1층 운량(1/8),2층 운량(1/8),3층 운량(1/8),4층 운량(1/8),1층 운형,2층 운형,3층 운형,4층 운형,1층 운고(FT),2층 운고(FT),3층 운고(FT),4층 운고(FT),기온(°C),이슬점온도(°C),해면기압(hPa),현지기압(hPa),강수량(mm)
182,2019-01-05 02:00,210,3,,10000,60.0,8,6.0,8.0,,,6.0,4.0,,,2500.0,8000.0,,,5.8,3.8,1027.1,1023.8,0.0
182,2019-01-05 03:00,10,8,,10000,21.0,8,6.0,8.0,,,6.0,4.0,,,2500.0,10000.0,,,7.0,3.3,1027.1,1023.8,0.0
182,2019-01-05 04:00,20,8,,10000,61.0,8,6.0,8.0,,,6.0,4.0,,,2000.0,8000.0,,,6.9,3.1,1026.7,1023.4,0.0
182,2019-01-05 05:00,10,7,,10000,60.0,8,6.0,8.0,,,6.0,4.0,,,2000.0,8000.0,,,6.8,2.9,1026.5,1023.2,0.0
182,2019-01-05 06:00,20,6,,10000,60.0,8,6.0,8.0,,,6.0,4.0,,,2000.0,8000.0,,,6.8,2.9,1026.5,1023.2,0.0
182,2019-01-05 07:00,30,5,,8000,10.0,8,5.0,8.0,,,6.0,4.0,,,2500.0,8000.0,,,6.8,2.7,1026.0,1022.7,0.0
182,2019-01-05 08:00,30,5,,6000,10.0,7,5.0,7.0,,,6.0,3.0,,,2500.0,8000.0,,,7.1,2.1,1026.3,1023.0,
182,2019-01-05 09:00,20,7,,6000,10.0,7,5.0,7.0,,,6.0,3.0,,,3000.0,8000.0,,,7.4,1.3,1027.2,1023.9,
182,2019-01-05 10:00,20,9,,4000,5.0,7,5.0,7.0,,,6.0,3.0,,,2500.0,8000.0,,,7.5,1.6,1027.5,1024.2,
182,2019-01-05 11:00,20,7,,3500,5.0,7,5.0,7.0,,,6.0,3.0,,,2500.0,8000.0,,,7.4,2.5,1027.4,1024.1,
182,2019-01-05 12:00,20,6,,4000,5.0,7,5.0,7.0,,,6.0,3.0,,,2500.0,12000.0,,,7.7,1.9,1026.4,1023.1,
182,2019-01-05 13:00,360,7,,6000,5.0,6,6.0,,,,6.0,,,,2500.0,,,,7.8,1.8,1025.7,1022.4,
182,2019-01-05 14:00,350,5,,7000,5.0,4,4.0,,,,6.0,,,,2500.0,,,,7.9,0.9,1025.4,1022.1,
182,2019-01-05 15:00,360,6,,8000,5.0,3,3.0,,,,6.0,,,,2500.0,,,,6.9,0.9,1025.2,1021.9,
182,2019-01-05 16:00,330,5,,10000,,1,1.0,,,,6.0,,,,2500.0,,,,7.0,-0.5,1025.1,1021.8,
182,2019-01-05 17:00,350,4,,10000,,0,,,,,,,,,,,,,6.6,-2.4,1025.2,1021.9,
182,2019-01-05 18:00,320,2,,10000,,1,1.0,,,,0.0,,,,20000.0,,,,6.1,-3.0,1024.9,1021.6,
182,2019-01-05 19:00,340,5,,10000,,0,,,,,,,,,,,,,6.3,-2.3,1026.0,1022.7,
182,2019-01-05 20:00,340,4,,10000,,0,,,,,,,,,,,,,5.9,-2.8,1026.3,1023.0,
182,2019-01-05 21:00,290,3,,10000,,0,,,,,,,,,,,,,4.4,-2.4,1026.4,1023.1,
182,2019-01-05 22:00,340,6,,10000,,4,4.0,,,,3.0,,,,12000.0,,,,5.7,-2.8,1026.3,1023.0,
182,2019-01-05 23:00,340,6,,10000,,4,4.0,,,,3.0,,,,14000.0,,,,5.5,-2.0,1026.1,1022.8,
182,2019-01-06 00:00,330,7,,10000,,6,6.0,,,,3.0,,,,15000.0,,,,5.4,-1.7,1026.0,1022.7,
182,2019-01-06 01:00,330,5,,10000,,6,6.0,,,,3.0,,,,12000.0,,,,5.2,-1.3,1026.1,1022.8,
182,2019-01-06 02:00,330,6,,10000,,5,1.0,5.0,,,6.0,3.0,,,3000.0,12000.0,,,5.2,-1.5,1027.0,1023.7,
182,2019-01-06 03:00,340,7,,10000,,6,2.0,6.0,,,6.0,3.0,,,3000.0,12000.0,,,5.2,-2.1,1027.2,1023.9,
182,2019-01-06 04:00,10,6,,10000,,6,2.0,6.0,,,6.0,3.0,,,3000.0,12000.0,,,5.0,-0.7,1027.0,1023.7,
182,2019-01-06 05:00,10,8,,10000,,6,2.0,6.0,,,6.0,3.0,,,3000.0,12000.0,,,4.6,-2.4,1027.0,1023.7,
182,2019-01-06 06:00,20,3,,10000,,7,3.0,7.0,,,6.0,3.0,,,3000.0,12000.0,,,4.5,-1.7,1027.6,1024.3,
182,2019-01-06 07:00,10,6,,10000,,7,3.0,7.0,,,6.0,3.0,,,3000.0,12000.0,,,4.7,-2.3,1027.7,1024.4,
182,2019-01-06 08:00,20,5,,10000,,5,5.0,,,,6.0,,,,3000.0,,,,4.7,-1.3,1028.1,1024.8,
182,2019-01-06 09:00,30,5,,10000,,5,5.0,,,,6.0,,,,3000.0,,,,5.0,-0.9,1028.7,1025.4,
182,2019-01-06 10:00,360,6,,10000,,6,6.0,,,,6.0,,,,2500.0,,,,5.1,-0.6,1029.2,1025.9,
182,2019-01-06 11:00,20,5,,10000,,5,5.0,,,,6.0,,,,2500.0,,,,5.7,-0.1,1029.6,1026.3,
182,2019-01-06 12:00,340,5,,10000,,6,6.0,,,,6.0,,,,3000.0,,,,5.5,-0.7,1029.5,1026.2,
182,2019-01-06 13:00,320,5,,10000,,4,4.0,,,,6.0,,,,3000.0,,,,5.6,-1.3,1028.2,1024.9,
182,2019-01-06 14:00,330,5,,10000,,4,4.0,,,,6.0,,,,3000.0,,,,5.7,-0.6,1028.0,1024.7,
182,2019-01-06 15:00,310,5,,10000,,5,5.0,,,,6.0,,,,3000.0,,,,5.9,-1.1,1027.8,1024.5,
182,2019-01-06 16:00,340,7,,10000,,6,6.0,,,,6.0,,,,3000.0,,,,5.8,-1.1,1027.8,1024.5,
182,2019-01-06 17:00,340,7,,10000,,6,6.0,,,,6.0,,,,3000.0,,,,5.6,-0.9,1028.5,1025.2,
182,2019-01-06 18:00,330,5,,10000,,5,5.0,,,,6.0,,,,3000.0,,,,5.5,-1.1,1028.2,1024.9,
182,2019-01-06 19:00,10,3,,10000,,6,3.0,6.0,,,6.0,0.0,,,3000.0,20000.0,,,5.4,-1.1,1028.5,1025.2,
182,2019-01-06 20:00,330,4,,10000,,6,4.0,6.0,,,6.0,0.0,,,3000.0,20000.0,,,5.5,-1.2,1029.2,1025.9,
182,2019-01-06 21:00,280,2,,10000,,4,4.0,,,,6.0,,,,3000.0,,,,4.2,-2.0,1029.2,1025.8,
182,2019-01-06 22:00,200,5,,10000,,6,4.0,6.0,,,6.0,0.0,,,3000.0,20000.0,,,3.8,-1.5,1030.0,1026.6,
182,2019-01-06 23:00,200,3,,10000,,6,4.0,6.0,,,6.0,0.0,,,3000.0,20000.0,,,3.4,-1.6,1029.3,1025.9,
182,2019-01-07 00:00,190,5,,10000,,5,3.0,5.0,,,6.0,0.0,,,3000.0,20000.0,,,3.2,-1.2,1029.2,1025.8,
182,2019-01-07 01:00,190,4,,10000,,3,3.0,,,,6.0,,,,3000.0,,,,2.8,-1.5,1029.0,1025.6,
182,2019-01-07 02:00,180,5,,10000,,3,3.0,,,,6.0,,,,3000.0,,,,2.2,-2.2,1028.9,1025.5,
182,2019-01-07 03:00,170,4,,10000,,2,2.0,,,,6.0,,,,3000.0,,,,2.7,-2.0,1028.7,1025.3,
182,2019-01-07 04:00,160,2,,10000,,4,4.0,,,,6.0,,,,3000.0,,,,2.9,-1.4,1028.7,1025.3,
182,2019-01-07 05:00,180,3,,10000,,4,4.0,,,,6.0,,,,3000.0,,,,3.1,-1.2,1028.8,1025.4,
182,2019-01-07 06:00,160,3,,10000,,6,6.0,,,,6.0,,,,3000.0,,,,2.5,-1.0,1029.2,1025.8,
182,2019-01-07 07:00,180,4,,10000,,6,6.0,,,,6.0,,,,3000.0,,,,2.7,-1.1,1029.4,1026.0,
182,2019-01-07 08:00,170,5,,10000,,6,6.0,,,,6.0,,,,3000.0,,,,3.2,-1.0,1029.4,1026.0,
182,2019-01-07 09:00,160,2,,10000,,4,4.0,,,,6.0,,,,3000.0,,,,4.9,-0.5,1029.5,1026.2,
182,2019-01-07 10:00,10,5,,10000,,3,3.0,,,,6.0,,,,3000.0,,,,6.3,-1.0,1029.9,1026.6,
182,2019-01-07 11:00,20,4,,10000,,5,5.0,,,,6.0,,,,3000.0,,,,6.8,0.0,1029.7,1026.4,
182,2019-01-07 12:00,20,6,,10000,,5,5.0,,,,6.0,,,,3000.0,,,,6.1,-0.8,1028.8,1025.5,
182,2019-01-07 13:00,360,4,,10000,,3,3.0,,,,6.0,,,,3000.0,,,,7.1,0.3,1027.7,1024.4,
182,2019-01-07 14:00,40,5,,10000,,5,5.0,,,,6.0,,,,3000.0,,,,7.3,0.3,1027.1,1023.8,
182,2019-01-07 15:00,20,3,,10000,,6,4.0,6.0,,,6.0,0.0,,,3000.0,18000.0,,,6.7,-0.2,1027.0,1023.7,
182,2019-01-07 16:00,350,3,,10000,,6,5.0,6.0,,,6.0,0.0,,,3000.0,18000.0,,,7.1,0.5,1027.3,1024.0,
182,2019-01-07 17:00,330,5,,10000,,7,5.0,7.0,,,6.0,0.0,,,3000.0,18000.0,,,6.8,0.2,1027.3,1024.0,
182,2019-01-07 18:00,360,4,,10000,,7,4.0,7.0,,,6.0,0.0,,,3000.0,18000.0,,,6.7,0.3,1027.2,1023.9,
182,2019-01-07 19:00,20,6,,7000,5.0,4,4.0,,,,6.0,,,,3000.0,,,,6.4,0.2,1027.4,1024.1,
182,2019-01-07 20:00,360,5,,8000,5.0,6,4.0,6.0,,,6.0,3.0,,,3000.0,12000.0,,,6.4,0.4,1027.4,1024.1,
182,2019-01-07 21:00,10,6,,9000,5.0,6,6.0,,,,6.0,,,,3000.0,,,,6.3,-0.7,1027.5,1024.2,
182,2019-01-07 22:00,360,5,,9000,5.0,6,6.0,,,,6.0,,,,4000.0,,,,6.3,-0.7,1027.9,1024.6,
182,2019-01-07 23:00,10,5,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.3,-0.5,1028.0,1024.7,
182,2019-01-08 00:00,360,6,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.3,-1.0,1027.3,1024.0,
182,2019-01-08 01:00,30,6,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.2,-0.6,1027.1,1023.8,
182,2019-01-08 02:00,350,5,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.4,0.4,1027.6,1024.3,
182,2019-01-08 03:00,330,6,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.4,0.1,1027.8,1024.5,
182,2019-01-08 04:00,360,8,,10000,,7,7.0,,,,6.0,,,,2500.0,,,,6.5,0.5,1027.7,1024.4,
182,2019-01-08 05:00,360,6,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.5,0.2,1027.7,1024.4,
182,2019-01-08 06:00,10,7,,10000,,7,5.0,7.0,,,6.0,3.0,,,3000.0,11000.0,,,6.5,0.5,1028.0,1024.7,
182,2019-01-08 07:00,340,6,,10000,,7,5.0,7.0,,,6.0,3.0,,,3000.0,10000.0,,,6.5,-0.1,1028.0,1024.7,
182,2019-01-08 08:00,350,6,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.5,-0.4,1027.9,1024.6,
182,2019-01-08 09:00,340,4,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.7,0.4,1028.2,1024.9,
182,2019-01-08 10:00,350,6,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,7.0,0.9,1028.6,1025.3,
182,2019-01-08 11:00,340,7,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.9,1.4,1029.1,1025.8,
182,2019-01-08 12:00,330,7,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,7.4,0.7,1027.9,1024.6,
182,2019-01-08 13:00,330,8,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,7.6,1.2,1027.3,1024.0,
182,2019-01-08 14:00,330,10,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,7.7,1.0,1027.1,1023.8,
182,2019-01-08 15:00,330,11,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,7.1,-0.7,1027.3,1024.0,
182,2019-01-08 16:00,330,12,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,7.1,-0.6,1027.6,1024.3,
182,2019-01-08 17:00,330,13,27.0,10000,,7,7.0,,,,6.0,,,,3000.0,,,,6.8,-0.7,1028.4,1025.1,
182,2019-01-08 18:00,330,13,,10000,,6,6.0,,,,6.0,,,,3000.0,,,,6.1,-1.9,1029.3,1026.0,
182,2019-01-08 19:00,330,13,,10000,,7,7.0,,,,6.0,,,,3000.0,,,,5.7,-1.6,1029.9,1026.6,
182,2019-01-08 20:00,340,10,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,5.2,-1.6,1030.4,1027.1,
182,2019-01-08 21:00,360,11,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.7,-2.8,1030.9,1027.5,
182,2019-01-08 22:00,350,11,,10000,,7,7.0,,,,6.0,,,,3500.0,,,,4.2,-3.5,1031.1,1027.7,
182,2019-01-08 23:00,340,12,,10000,,7,7.0,,,,6.0,,,,4000.0,,,,4.6,-3.7,1031.7,1028.3,
182,2019-01-09 00:00,350,13,,10000,,7,7.0,,,,6.0,,,,4000.0,,,,4.7,-3.4,1032.2,1028.8,
182,2019-01-09 01:00,350,12,,10000,,7,7.0,,,,6.0,,,,4000.0,,,,4.5,-3.2,1032.2,1028.8,
182,2019-01-09 02:00,340,12,,10000,,7,7.0,,,,6.0,,,,4000.0,,,,4.5,-3.4,1033.0,1029.6,
182,2019-01-09 03:00,360,11,,10000,,7,7.0,,,,6.0,,,,4000.0,,,,4.0,-3.9,1033.0,1029.6,
182,2019-01-09 04:00,350,10,,10000,,8,7.0,8.0,,,6.0,4.0,,,3500.0,12000.0,,,3.7,-3.9,1033.2,1029.8,
182,2019-01-09 05:00,20,9,,10000,,8,7.0,8.0,,,6.0,4.0,,,3500.0,12000.0,,,3.2,-4.6,1033.2,1029.8,
182,2019-01-09 06:00,30,9,,10000,,7,5.0,7.0,,,6.0,4.0,,,3000.0,12000.0,,,2.1,-5.4,1033.3,1029.9,
182,2019-01-09 07:00,40,8,,10000,,7,3.0,7.0,,,6.0,0.0,,,3000.0,20000.0,,,1.9,-5.3,1033.0,1029.6,
