ÁöÁ¡,ÀÏ½Ã,Ç³Çâ(deg),Ç³¼Ó(KT),¼ø°£Ç³¼Ó(KT),½ÃÁ¤(m),ÀÏ±âÇö»ó,Àü¿î·®(1/8),1Ãþ ¿î·®(1/8),2Ãþ ¿î·®(1/8),3Ãþ ¿î·®(1/8),4Ãþ ¿î·®(1/8),1Ãþ ¿îÇü,2Ãþ ¿îÇü,3Ãþ ¿îÇü,4Ãþ ¿îÇü,1Ãþ ¿î°í(FT),2Ãþ ¿î°í(FT),3Ãþ ¿î°í(FT),4Ãþ ¿î°í(FT),±â¿Â(¡ÆC),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇØ¸é±â¾Ð(hPa),ÇöÁö±â¾Ð(hPa),°­¼ö·®(mm)
110,2019-01-01 22:00,350,4,,10000,,0,,,,,,,,,,,,,-8.1,-16.4,1034.8,1033.1,
110,2019-01-01 23:00,260,1,,10000,,0,,,,,,,,,,,,,-7.7,-15.7,1034.5,1032.8,
110,2019-01-02 00:00,210,2,,10000,,0,,,,,,,,,,,,,-9.8,-15.7,1034.9,1033.2,
110,2019-01-02 01:00,30,1,,10000,,0,,,,,,,,,,,,,-10.4,-15.7,1034.9,1033.2,
110,2019-01-02 02:00,0,0,,10000,,0,,,,,,,,,,,,,-10.2,-16.4,1035.3,1033.6,
110,2019-01-02 03:00,50,1,,10000,,0,,,,,,,,,,,,,-11.3,-17.1,1035.2,1033.5,
110,2019-01-02 04:00,310,2,,10000,,0,,,,,,,,,,,,,-11.5,-15.7,1034.9,1033.2,
110,2019-01-02 05:00,330,2,,10000,,0,,,,,,,,,,,,,-11.9,-15.1,1034.7,1033,
110,2019-01-02 06:00,340,1,,10000,,0,,,,,,,,,,,,,-11.6,-15.1,1035.1,1033.4,
110,2019-01-02 07:00,320,2,,10000,,0,,,,,,,,,,,,,-12.1,-15.7,1035.5,1033.8,
110,2019-01-02 08:00,10,3,,10000,,0,,,,,,,,,,,,,-10.8,-14.5,1036.2,1034.5,
110,2019-01-02 09:00,310,1,,10000,,0,,,,,,,,,,,,,-7.7,-11.7,1037,1035.3,
110,2019-01-02 10:00,310,4,,10000,,0,,,,,,,,,,,,,-5,-13.9,1037.1,1035.4,
110,2019-01-02 11:00,340,7,,10000,,0,,,,,,,,,,,,,-4,-16.4,1036.6,1034.9,
110,2019-01-02 12:00,330,7,,10000,,0,,,,,,,,,,,,,-3,-18.7,1035.7,1034,
110,2019-01-02 13:00,350,6,,10000,,0,,,,,,,,,,,,,-2,-18.7,1034.5,1032.9,
110,2019-01-02 14:00,330,4,,10000,,0,,,,,,,,,,,,,-.6,-18.7,1033.8,1032.2,
110,2019-01-02 15:00,290,7,,10000,,0,,,,,,,,,,,,,-.4,-17.1,1033.8,1032.2,
110,2019-01-02 16:00,280,5,,10000,,0,,,,,,,,,,,,,-1.1,-17.1,1033.9,1032.3,
110,2019-01-02 17:00,280,5,,10000,,0,,,,,,,,,,,,,-2,-16.4,1033.8,1032.2,
110,2019-01-02 18:00,270,4,,10000,,0,,,,,,,,,,,,,-3,-15.7,1034.4,1032.8,
110,2019-01-02 19:00,290,3,,10000,,0,,,,,,,,,,,,,-4.9,-16.4,1034.7,1033,
110,2019-01-02 20:00,270,2,,10000,,0,,,,,,,,,,,,,-6.1,-15.7,1034.6,1032.9,
110,2019-01-02 21:00,20,2,,10000,,0,,,,,,,,,,,,,-7.6,-15.1,1034.6,1032.9,
110,2019-01-02 22:00,320,5,,10000,,0,,,,,,,,,,,,,-6.2,-13.3,1034.9,1033.2,
110,2019-01-02 23:00,330,4,,10000,,0,,,,,,,,,,,,,-6,-15.7,1035.3,1033.6,
110,2019-01-03 00:00,330,4,,10000,,4,4,,,,0,,,,24000,,,,-6.3,-14.5,1035.6,1033.9,
110,2019-01-03 01:00,320,3,,10000,,4,4,,,,0,,,,24000,,,,-6.6,-15.7,1035.6,1033.9,
110,2019-01-03 02:00,350,3,,10000,,0,,,,,,,,,,,,,-10.5,-17.1,1035.8,1034.1,
110,2019-01-03 03:00,260,3,,10000,,0,,,,,,,,,,,,,-8.8,-15.1,1036,1034.3,
110,2019-01-03 04:00,330,3,,10000,,0,,,,,,,,,,,,,-8.6,-15.1,1035.8,1034.1,
110,2019-01-03 05:00,350,2,,10000,,0,,,,,,,,,,,,,-9.1,-15.1,1035.9,1034.2,
110,2019-01-03 06:00,0,0,,10000,,0,,,,,,,,,,,,,-11.2,-16.4,1036.2,1034.5,
110,2019-01-03 07:00,20,2,,10000,,0,,,,,,,,,,,,,-10.6,-15.1,1036.2,1034.5,
110,2019-01-03 08:00,320,2,,10000,,0,,,,,,,,,,,,,-9.2,-13.3,1036.5,1034.8,
110,2019-01-03 09:00,0,0,,10000,,0,,,,,,,,,,,,,-6.2,-11.7,1037.2,1035.5,
110,2019-01-03 10:00,10,1,,10000,,0,,,,,,,,,,,,,-4.2,-14.5,1037.6,1035.9,
110,2019-01-03 11:00,340,5,,10000,,0,,,,,,,,,,,,,-2.6,-16.4,1037.6,1035.9,
110,2019-01-03 12:00,30,2,,10000,,0,,,,,,,,,,,,,-1.1,-16.4,1036.5,1034.9,
110,2019-01-03 13:00,360,7,,10000,,0,,,,,,,,,,,,,-.1,-19.6,1035.6,1034,
110,2019-01-03 14:00,350,5,,10000,,0,,,,,,,,,,,,,.9,-20.5,1035,1033.4,
110,2019-01-03 15:00,340,5,,10000,,0,,,,,,,,,,,,,1.3,-20.5,1034.6,1033,
110,2019-01-03 16:00,330,2,,10000,,0,,,,,,,,,,,,,1.5,-20.5,1034.6,1033,
110,2019-01-03 17:00,350,2,,10000,,0,,,,,,,,,,,,,.9,-20.5,1034.4,1032.8,
110,2019-01-03 18:00,300,5,,10000,,0,,,,,,,,,,,,,-1.3,-17.9,1034.6,1033,
110,2019-01-03 19:00,300,4,,10000,,0,,,,,,,,,,,,,-2,-13.3,1035.7,1034.1,
110,2019-01-03 20:00,360,1,,10000,,0,,,,,,,,,,,,,-3.3,-12.7,1036.3,1034.6,
110,2019-01-03 21:00,0,0,,10000,,0,,,,,,,,,,,,,-5,-12.7,1035.9,1034.2,
110,2019-01-03 22:00,40,1,,10000,,0,,,,,,,,,,,,,-6.9,-13.3,1035.6,1033.9,
110,2019-01-03 23:00,270,1,,10000,,0,,,,,,,,,,,,,-7.6,-12.2,1035.9,1034.2,
110,2019-01-04 00:00,350,1,,10000,,0,,,,,,,,,,,,,-7.4,-12.2,1035.8,1034.1,
110,2019-01-04 01:00,320,1,,8000,5,0,,,,,,,,,,,,,-8.8,-13.3,1035.4,1033.7,
110,2019-01-04 02:00,350,1,,8000,5,0,,,,,,,,,,,,,-8.3,-11.7,1035.4,1033.7,
110,2019-01-04 03:00,320,2,,8000,5,0,,,,,,,,,,,,,-9.7,-13.9,1034.6,1032.9,
110,2019-01-04 04:00,320,3,,8000,5,0,,,,,,,,,,,,,-8.9,-12.7,1034.5,1032.8,
110,2019-01-04 05:00,340,2,,8000,5,0,,,,,,,,,,,,,-8.4,-12.7,1033.9,1032.2,
110,2019-01-04 06:00,320,2,,8000,5,0,,,,,,,,,,,,,-9.1,-12.7,1033.6,1031.9,
110,2019-01-04 07:00,330,3,,8000,5,0,,,,,,,,,,,,,-8.6,-11.7,1033.1,1031.4,
110,2019-01-04 08:00,330,3,,10000,,0,,,,,,,,,,,,,-8.3,-11.2,1033,1031.3,
110,2019-01-04 09:00,320,3,,10000,,3,3,,,,0,,,,18000,,,,-6.5,-10.7,1033.6,1031.9,
110,2019-01-04 10:00,350,1,,10000,,6,6,,,,3,,,,14000,,,,-3.8,-9.8,1033.6,1031.9,
110,2019-01-04 11:00,180,2,,10000,,7,7,,,,3,,,,10000,,,,-1.5,-9.4,1032.7,1031.1,
110,2019-01-04 12:00,190,3,,10000,,7,7,,,,3,,,,9000,,,,.3,-10.7,1031.7,1030.1,
110,2019-01-04 13:00,220,8,,10000,,8,8,,,,4,,,,9000,,,,1.8,-10.3,1031.4,1029.8,
110,2019-01-04 14:00,220,7,,10000,,2,2,,,,3,,,,10000,,,,3.5,-9,1030.5,1028.9,
110,2019-01-04 15:00,230,6,,10000,,1,1,,,,0,,,,18000,,,,3.6,-7.1,1029.5,1027.9,
110,2019-01-04 16:00,260,4,,10000,,6,3,6,,,6,3,,,3000,12000,,,3,-5,1029.1,1027.5,
110,2019-01-04 17:00,250,5,,10000,,4,3,4,,,6,3,,,3000,12000,,,2.2,-4.1,1028.6,1027,
110,2019-01-04 18:00,220,4,,10000,,4,3,4,,,6,3,,,3000,12000,,,1.2,-3.8,1028.5,1026.9,
110,2019-01-04 19:00,190,3,,10000,,2,2,,,,6,,,,3000,,,,-.1,-5,1028.3,1026.7,
110,2019-01-04 20:00,190,1,,10000,,2,2,,,,6,,,,3000,,,,-1.3,-5.7,1028.3,1026.7,
110,2019-01-04 21:00,320,2,,6000,10,3,3,,,,6,,,,3000,,,,-2.2,-5,1027.8,1026.2,
110,2019-01-04 22:00,320,2,,4000,10,3,3,,,,6,,,,3000,,,,-2.8,-5,1027.7,1026.1,
110,2019-01-04 23:00,350,2,,3000,10,3,3,,,,6,,,,3000,,,,-4.7,-7.1,1027.6,1026,
110,2019-01-05 00:00,320,1,,2000,10,3,3,,,,6,,,,3000,,,,-4.8,-7.1,1027.3,1025.7,
110,2019-01-05 01:00,10,3,,2000,10,2,2,,,,7,,,,1500,,,,-4.4,-6.7,1027.6,1026,
110,2019-01-05 02:00,310,5,,2500,10,2,2,,,,0,,,,20000,,,,-3.9,-7.8,1028,1026.4,
110,2019-01-05 03:00,320,6,,5000,10,2,2,,,,0,,,,20000,,,,-4.7,-12.7,1028.1,1026.5,
110,2019-01-05 04:00,340,4,,10000,,0,,,,,,,,,,,,,-4.6,-14.5,1027.8,1026.2,
110,2019-01-05 05:00,320,5,,10000,,0,,,,,,,,,,,,,-5.9,-14.5,1027.9,1026.2,
110,2019-01-05 06:00,330,5,,10000,,0,,,,,,,,,,,,,-4.7,-14.5,1027.9,1026.3,
110,2019-01-05 07:00,320,2,,10000,,0,,,,,,,,,,,,,-5.6,-13.9,1027.9,1026.2,
110,2019-01-05 08:00,340,1,,10000,,0,,,,,,,,,,,,,-7.7,-14.5,1028.6,1026.9,
110,2019-01-05 09:00,340,2,,10000,,0,,,,,,,,,,,,,-5,-12.7,1029.1,1027.4,
110,2019-01-05 10:00,340,8,,10000,,0,,,,,,,,,,,,,-4.1,-13.9,1029.8,1028.2,
110,2019-01-05 11:00,330,6,,10000,,4,4,,,,0,,,,18000,,,,-3.1,-16.4,1030,1028.4,
110,2019-01-05 12:00,320,5,,10000,,3,3,,,,0,,,,18000,,,,-2.1,-18.7,1029.2,1027.6,
110,2019-01-05 13:00,340,9,,10000,,3,3,,,,0,,,,18000,,,,-.8,-18.7,1028.3,1026.7,
110,2019-01-05 14:00,350,10,,10000,,0,,,,,,,,,,,,,-.1,-20.5,1027.7,1026.1,
110,2019-01-05 15:00,340,9,,10000,,0,,,,,,,,,,,,,.2,-20.5,1027.4,1025.8,
110,2019-01-05 16:00,330,8,,10000,,0,,,,,,,,,,,,,.3,-20.5,1027,1025.4,
110,2019-01-05 17:00,320,7,,10000,,0,,,,,,,,,,,,,-1.3,-20.5,1026.8,1025.2,
110,2019-01-05 18:00,270,2,,10000,,0,,,,,,,,,,,,,-3.8,-20.5,1027.3,1025.7,
110,2019-01-05 19:00,320,5,,10000,,0,,,,,,,,,,,,,-5.2,-20.5,1027.7,1026,
110,2019-01-05 20:00,350,2,,10000,,0,,,,,,,,,,,,,-5.4,-18.7,1027.7,1026,
110,2019-01-05 21:00,320,4,,10000,,0,,,,,,,,,,,,,-4.9,-18.7,1028,1026.3,
110,2019-01-05 22:00,330,6,,10000,,0,,,,,,,,,,,,,-6.2,-17.9,1028.5,1026.8,
110,2019-01-05 23:00,330,4,,10000,,0,,,,,,,,,,,,,-6.7,-17.9,1028.7,1027,
110,2019-01-06 00:00,320,6,,10000,,0,,,,,,,,,,,,,-8.8,-18.7,1028.8,1027.1,
110,2019-01-06 01:00,320,5,,10000,,0,,,,,,,,,,,,,-9.2,-17.9,1029.1,1027.4,
110,2019-01-06 02:00,320,5,,10000,,3,3,,,,0,,,,20000,,,,-8.2,-17.1,1029.3,1027.6,
110,2019-01-06 03:00,320,5,,10000,,7,7,,,,0,,,,20000,,,,-7.6,-16.4,1029.3,1027.6,
110,2019-01-06 04:00,350,3,,10000,,8,8,,,,4,,,,15000,,,,-6.7,-16.4,1029,1027.3,
110,2019-01-06 05:00,310,2,,10000,,8,8,,,,4,,,,15000,,,,-6.3,-16.4,1028.6,1026.9,
110,2019-01-06 06:00,330,4,,10000,,8,8,,,,4,,,,15000,,,,-6.5,-15.7,1028.7,1027,
110,2019-01-06 07:00,20,3,,10000,,8,8,,,,4,,,,15000,,,,-6.2,-16.4,1028.6,1026.9,
110,2019-01-06 08:00,340,3,,10000,,8,8,,,,4,,,,15000,,,,-7.2,-15.7,1029.5,1027.8,
110,2019-01-06 09:00,360,2,,10000,,6,6,,,,3,,,,15000,,,,-6.3,-15.1,1029.8,1028.1,
110,2019-01-06 10:00,350,1,,10000,,2,2,,,,0,,,,20000,,,,-4.4,-15.1,1030.3,1028.6,
110,2019-01-06 11:00,310,2,,10000,,0,,,,,,,,,,,,,-2.1,-15.7,1030.2,1028.6,
110,2019-01-06 12:00,290,3,,10000,,0,,,,,,,,,,,,,-1.3,-18.7,1029.8,1028.2,
110,2019-01-06 13:00,30,3,,10000,,0,,,,,,,,,,,,,.2,-18.7,1028.4,1026.8,
110,2019-01-06 14:00,300,6,,10000,,0,,,,,,,,,,,,,.8,-19.6,1028.4,1026.8,
110,2019-01-06 15:00,300,6,,10000,,0,,,,,,,,,,,,,1.1,-17.1,1028.2,1026.6,
110,2019-01-06 16:00,300,8,,10000,,0,,,,,,,,,,,,,1,-16.4,1028.6,1027,
110,2019-01-06 17:00,300,6,,10000,,0,,,,,,,,,,,,,-.5,-15.7,1028.9,1027.3,
110,2019-01-06 18:00,290,5,,10000,,0,,,,,,,,,,,,,-2.6,-14.5,1029.2,1027.6,
110,2019-01-06 19:00,290,1,,10000,,0,,,,,,,,,,,,,-4.1,-13.3,1029.6,1028,
110,2019-01-06 20:00,30,1,,10000,,0,,,,,,,,,,,,,-4.1,-12.2,1029.4,1027.8,
110,2019-01-06 21:00,240,1,,10000,,0,,,,,,,,,,,,,-6.3,-12.7,1029.7,1028,
110,2019-01-06 22:00,280,1,,10000,,0,,,,,,,,,,,,,-7,-12.2,1029.6,1027.9,
110,2019-01-06 23:00,20,1,,10000,,0,,,,,,,,,,,,,-6.1,-9.8,1029.4,1027.7,
110,2019-01-07 00:00,40,1,,10000,,0,,,,,,,,,,,,,-7.2,-10.7,1028.9,1027.2,
110,2019-01-07 01:00,310,3,,10000,,0,,,,,,,,,,,,,-8.4,-12.7,1029.3,1027.6,
110,2019-01-07 02:00,350,3,,10000,,0,,,,,,,,,,,,,-7.9,-12.2,1029.8,1028.1,
110,2019-01-07 03:00,340,1,,10000,,0,,,,,,,,,,,,,-8,-12.2,1030.1,1028.4,
110,2019-01-07 04:00,320,1,,10000,,0,,,,,,,,,,,,,-8.7,-12.2,1030,1028.3,
110,2019-01-07 05:00,10,1,,8000,10,0,,,,,,,,,,,,,-8.9,-12.2,1029.6,1027.9,
110,2019-01-07 06:00,300,1,,7000,10,0,,,,,,,,,,,,,-9.8,-12.7,1029.6,1027.9,
110,2019-01-07 07:00,30,2,,7000,10,0,,,,,,,,,,,,,-8.5,-11.2,1029.6,1027.9,
110,2019-01-07 08:00,320,1,,10000,,2,2,,,,0,,,,18000,,,,-10.6,-13.9,1029.7,1028,
110,2019-01-07 09:00,320,3,,10000,,2,2,,,,0,,,,18000,,,,-6.8,-9.8,1030.2,1028.5,
110,2019-01-07 10:00,310,1,,10000,,2,2,,,,0,,,,18000,,,,-3.6,-7.8,1030.3,1028.7,
110,2019-01-07 11:00,30,2,,10000,,2,2,,,,0,,,,18000,,,,-.7,-11.2,1030.1,1028.5,
110,2019-01-07 12:00,320,4,,10000,,0,,,,,,,,,,,,,1.2,-11.2,1029.1,1027.5,
110,2019-01-07 13:00,350,6,,10000,,3,3,,,,0,,,,18000,,,,1.2,-11.7,1028.6,1027,
110,2019-01-07 14:00,330,3,,10000,,6,6,,,,0,,,,18000,,,,2.8,-11.2,1028,1026.4,
110,2019-01-07 15:00,280,6,,10000,,6,6,,,,0,,,,18000,,,,3,-13.3,1028,1026.4,
110,2019-01-07 16:00,350,5,,10000,,6,6,,,,0,,,,18000,,,,2.5,-13.3,1027.9,1026.3,
110,2019-01-07 17:00,300,3,,10000,,6,6,,,,0,,,,18000,,,,1.5,-13.9,1028,1026.4,
110,2019-01-07 18:00,270,2,,10000,,6,6,,,,0,,,,18000,,,,.3,-10.7,1027.8,1026.2,
110,2019-01-07 19:00,280,2,,10000,,6,6,,,,0,,,,18000,,,,-1.7,-10.3,1027.7,1026.1,
110,2019-01-07 20:00,360,2,,8000,5,4,4,,,,0,,,,18000,,,,-2.9,-10.3,1028,1026.4,
110,2019-01-07 21:00,330,2,,7000,5,4,4,,,,0,,,,18000,,,,-2.6,-8.6,1028,1026.4,
110,2019-01-07 22:00,310,2,,6000,5,4,4,,,,0,,,,18000,,,,-2.8,-7.8,1027.8,1026.2,
110,2019-01-07 23:00,300,3,,6000,10,4,4,,,,0,,,,18000,,,,-4.1,-8.2,1028,1026.4,
110,2019-01-08 00:00,310,4,,6000,10,4,4,,,,0,,,,18000,,,,-6.1,-9.4,1027.9,1026.2,
110,2019-01-08 01:00,310,5,,6000,5,3,3,,,,0,,,,18000,,,,-4.7,-11.7,1027.9,1026.3,
110,2019-01-08 02:00,310,3,,8000,5,2,2,,,,0,,,,18000,,,,-4.5,-13.9,1028.6,1027,
110,2019-01-08 03:00,310,2,,10000,,2,2,,,,0,,,,18000,,,,-4.1,-14.5,1029,1027.4,
110,2019-01-08 04:00,50,1,,10000,,2,2,,,,0,,,,18000,,,,-8,-15.7,1028.9,1027.2,
110,2019-01-08 05:00,200,1,,10000,,0,,,,,,,,,,,,,-8.1,-14.5,1028.7,1027,
110,2019-01-08 06:00,0,0,,10000,,0,,,,,,,,,,,,,-9.5,-15.1,1028.5,1026.8,
110,2019-01-08 07:00,350,1,,10000,,0,,,,,,,,,,,,,-8.2,-12.2,1028.5,1026.8,
110,2019-01-08 08:00,350,1,,10000,,0,,,,,,,,,,,,,-9.3,-12.7,1028.8,1027.1,
110,2019-01-08 09:00,320,3,,10000,,0,,,,,,,,,,,,,-4.8,-10.3,1029.1,1027.4,
110,2019-01-08 10:00,330,7,,10000,,0,,,,,,,,,,,,,-2.1,-13.9,1029.8,1028.2,
110,2019-01-08 11:00,330,8,,10000,,0,,,,,,,,,,,,,-1.2,-16.4,1029.7,1028.1,
110,2019-01-08 12:00,350,11,,10000,,0,,,,,,,,,,,,,-.8,-17.1,1028.8,1027.2,
110,2019-01-08 13:00,320,13,,10000,,0,,,,,,,,,,,,,-.6,-20.5,1028.6,1027,
110,2019-01-08 14:00,320,11,,10000,,0,,,,,,,,,,,,,.5,-19.6,1027.8,1026.2,
110,2019-01-08 15:00,330,14,,10000,,0,,,,,,,,,,,,,.6,-20.5,1028.2,1026.6,
110,2019-01-08 16:00,310,13,,10000,,0,,,,,,,,,,,,,.3,-17.9,1029,1027.4,
110,2019-01-08 17:00,330,10,,10000,,0,,,,,,,,,,,,,-1.2,-20.5,1029.1,1027.5,
110,2019-01-08 18:00,320,7,,10000,,0,,,,,,,,,,,,,-2.8,-20.5,1028.9,1027.3,
110,2019-01-08 19:00,330,14,,10000,,0,,,,,,,,,,,,,-4,-20.5,1030.5,1028.9,
110,2019-01-08 20:00,330,17,,10000,,0,,,,,,,,,,,,,-5.5,-20.5,1031.6,1029.9,
110,2019-01-08 21:00,340,8,,10000,,0,,,,,,,,,,,,,-6.4,-19.6,1032.4,1030.7,
110,2019-01-08 22:00,330,8,,10000,,0,,,,,,,,,,,,,-7.5,-20.5,1032.8,1031.1,
110,2019-01-08 23:00,330,7,,10000,,0,,,,,,,,,,,,,-7.9,-19.6,1032.9,1031.2,
110,2019-01-09 00:00,330,8,,10000,,0,,,,,,,,,,,,,-7.5,-20.5,1033.6,1031.9,
110,2019-01-09 01:00,330,5,,10000,,0,,,,,,,,,,,,,-8.3,-21.5,1034.1,1032.4,
110,2019-01-09 02:00,340,8,,10000,,0,,,,,,,,,,,,,-8.5,-21.5,1034.4,1032.7,
110,2019-01-09 03:00,350,7,,10000,,0,,,,,,,,,,,,,-8.6,-21.5,1035,1033.3,
110,2019-01-09 04:00,10,1,,10000,,0,,,,,,,,,,,,,-9.1,-20.5,1035.3,1033.6,
110,2019-01-09 05:00,290,1,,10000,,0,,,,,,,,,,,,,-9.6,-20.5,1035.5,1033.8,
110,2019-01-09 06:00,310,5,,10000,,0,,,,,,,,,,,,,-9.9,-19.6,1036,1034.3,
110,2019-01-09 07:00,320,3,,10000,,0,,,,,,,,,,,,,-10.8,-19.6,1036.2,1034.5,
110,2019-01-09 08:00,10,3,,10000,,2,2,,,,0,,,,18000,,,,-10.7,-19.6,1036.2,1034.5,
110,2019-01-09 09:00,330,1,,10000,,1,1,,,,0,,,,18000,,,,-7.6,-18.7,1036.8,1035.1,
110,2019-01-09 10:00,360,2,,10000,,3,3,,,,0,,,,18000,,,,-5.9,-20.5,1037,1035.3,
110,2019-01-09 11:00,270,1,,10000,,3,3,,,,0,,,,18000,,,,-4.2,-20.5,1036.7,1035,
110,2019-01-09 12:00,10,4,,10000,,5,5,,,,0,,,,18000,,,,-3.7,-20.5,1035.3,1033.6,
110,2019-01-09 13:00,40,1,,10000,,6,6,,,,0,,,,20000,,,,-2.3,-19.6,1034.4,1032.8,
110,2019-01-09 14:00,350,2,,10000,,6,6,,,,0,,,,20000,,,,-1.2,-19.6,1033.5,1031.9,
110,2019-01-09 15:00,320,1,,10000,,4,4,,,,0,,,,20000,,,,0,-20.5,1033.2,1031.6,
110,2019-01-09 16:00,340,3,,10000,,4,4,,,,0,,,,20000,,,,-.9,-20.5,1032.8,1031.2,
110,2019-01-09 17:00,330,4,,10000,,2,2,,,,0,,,,20000,,,,-2.3,-20.5,1032.3,1030.7,
110,2019-01-09 18:00,320,4,,10000,,2,2,,,,0,,,,20000,,,,-3.7,-19.6,1032,1030.4,
110,2019-01-09 19:00,310,4,,10000,,2,2,,,,0,,,,20000,,,,-4.7,-17.9,1032,1030.3,
110,2019-01-09 20:00,320,4,,10000,,2,2,,,,0,,,,20000,,,,-5.8,-17.9,1031.6,1029.9,
110,2019-01-09 21:00,330,5,,10000,,5,5,,,,0,,,,20000,,,,-6.2,-17.1,1031.3,1029.6,
110,2019-01-09 22:00,330,4,,10000,,6,6,,,,0,,,,20000,,,,-6.4,-16.4,1031.1,1029.4,
110,2019-01-09 23:00,320,2,,10000,,7,7,,,,0,,,,20000,,,,-6.1,-15.7,1030.8,1029.1,
110,2019-01-10 00:00,320,2,,10000,,7,7,,,,0,,,,20000,,,,-5.1,-14.5,1030.1,1028.4,
110,2019-01-10 01:00,330,4,,10000,,7,7,,,,0,,,,20000,,,,-5.2,-14.5,1029.6,1027.9,
110,2019-01-10 02:00,330,3,,10000,,7,7,,,,0,,,,20000,,,,-5,-15.7,1029.4,1027.7,
110,2019-01-10 03:00,330,2,,10000,,7,7,,,,3,,,,15000,,,,-4.8,-14.5,1029.3,1027.6,
110,2019-01-10 04:00,350,5,,10000,,7,7,,,,3,,,,12000,,,,-4.7,-15.1,1028.7,1027,
110,2019-01-10 05:00,250,2,,10000,,7,7,,,,3,,,,10000,,,,-4.7,-15.1,1027.9,1026.3,
110,2019-01-10 06:00,300,1,,10000,,7,7,,,,3,,,,10000,,,,-5.4,-14.5,1027.9,1026.2,
110,2019-01-10 07:00,0,0,,10000,,7,7,,,,3,,,,8000,,,,-5.6,-13.3,1027.7,1026,
110,2019-01-10 08:00,200,1,,10000,,7,7,,,,3,,,,12000,,,,-4.9,-14.5,1027.2,1025.6,
110,2019-01-10 09:00,330,1,,10000,,6,6,,,,6,,,,3500,,,,-3.5,-15.7,1027.5,1025.9,
110,2019-01-10 10:00,230,1,,10000,,6,6,,,,6,,,,4000,,,,-1.2,-18.7,1027.6,1026,
110,2019-01-10 11:00,200,2,,10000,,5,3,5,,,6,3,,,4000,12000,,,.3,-18.7,1027.5,1025.9,
110,2019-01-10 12:00,180,2,,10000,,5,3,5,,,6,3,,,4000,12000,,,1.6,-14.5,1026.3,1024.7,
