지점,일시,평균풍속(KT),최대풍속(KT),최대순간풍속(KT),최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최대풍속 풍향(deg),최대순간풍속 풍향(deg),최단시정현상,최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균운량(1/8),5/8이상최저운고(FT),평균이슬점온도(°C),평균상대습도(%)
182,2019-01-16,9.0,16,27,17,100,330,340,,3.8,1.8,2345,441,1027.5,1029.0,1026.4,0.0,,,,,,,7.0,2500.0,-4.2,60
182,2019-01-17,8.4,14,23,1625,1444,310,310,,6.2,3.7,1452,1,1026.2,1029.0,1024.4,,,,,,,,6.7,3000.0,-3.2,54
182,2019-01-18,4.3,9,13,11,5,330,340,,8.5,3.2,1504,425,1028.2,1030.8,1026.7,,,,,,,,3.0,3000.0,-0.9,62
182,2019-01-19,6.3,15,23,2310,2259,270,270,10.0,12.3,2.4,1849,559,1022.1,1026.8,1017.7,1.5,,,,,,,5.3,2500.0,3.9,74
182,2019-01-20,13.2,17,26,935,1155,330,340,60.0,11.5,3.6,1,2350,1023.7,1027.7,1018.0,0.0,,,,,,,6.5,2500.0,0.2,64
182,2019-01-21,8.7,15,25,137,137,330,330,,7.5,3.6,1450,107,1025.2,1027.7,1023.2,,,,,,,,6.0,3000.0,-2.0,59
182,2019-01-22,6.5,10,17,1937,2128,300,300,5.0,10.0,4.2,1355,150,1022.3,1023.8,1021.3,,,,,,,,3.8,3000.0,-0.4,57
182,2019-01-23,7.3,11,16,1727,1628,320,310,5.0,10.9,4.6,1423,357,1022.3,1024.2,1020.9,,,,,,,,1.6,,-0.6,57
182,2019-01-24,4.2,9,14,20,16,360,10,,8.2,2.2,1536,645,1024.9,1026.4,1023.8,,,,,,,,0.0,,-2.8,56
182,2019-01-25,9.9,20,32,1821,2038,330,340,,8.9,2.4,1327,48,1025.3,1027.5,1023.4,,,,,,,,4.1,2500.0,-1.8,61
182,2019-01-26,12.0,20,32,135,301,320,340,,5.2,2.7,1120,534,1029.1,1031.2,1027.1,,,,,,,,4.6,3000.0,-4.3,56
182,2019-01-27,5.4,8,13,1217,1216,320,340,,7.3,1.1,1336,739,1029.0,1031.9,1025.4,,,,,,,,4.3,2500.0,-1.7,63
182,2019-01-28,9.9,16,24,1113,911,310,290,5.0,10.2,4.5,1001,2354,1024.5,1026.6,1022.9,,,,,,,,6.0,3000.0,-0.7,57
182,2019-01-29,4.0,8,12,1340,1337,30,40,,8.2,3.2,1448,636,1027.2,1028.8,1025.9,,,,,,,,2.6,12000.0,-0.9,63
182,2019-01-30,3.3,8,13,209,225,210,320,,9.6,5.5,1232,1,1024.9,1027.2,1021.7,0.0,,,,,,,7.4,2500.0,2.4,69
182,2019-01-31,10.4,22,37,1219,1253,360,10,61.0,7.8,3.0,237,1437,1021.1,1026.1,1017.2,19.0,,,,,,,7.6,2500.0,0.3,75
182,2019-02-01,10.0,17,31,422,416,320,330,,5.8,3.2,1523,34,1026.2,1028.0,1025.4,0.0,,,,,,,6.5,3000.0,-3.6,56
182,2019-02-02,5.5,9,15,243,1410,230,90,5.0,13.0,4.2,2343,322,1022.5,1025.8,1017.4,,,,,,,,5.0,3000.0,0.6,57
182,2019-02-03,15.3,30,45,615,610,230,240,61.0,17.7,8.6,553,1938,1015.3,1021.8,1011.4,10.0,,,,,,,8.0,2500.0,10.1,81
182,2019-02-04,7.1,18,28,119,221,330,340,5.0,9.2,3.7,3,2324,1025.9,1028.4,1021.6,,,,,,,,2.5,2500.0,-3.7,49
182,2019-02-05,7.9,18,24,1550,1507,70,80,,13.0,3.3,1554,622,1021.1,1025.5,1017.6,,,,,,,,3.1,13000.0,0.6,57
182,2019-02-06,3.8,7,13,1414,803,280,160,,13.9,7.9,1111,2347,1016.8,1017.8,1015.6,,,,,,,,5.3,2500.0,4.9,66
182,2019-02-07,7.6,16,24,919,918,10,20,60.0,13.1,1.6,502,2354,1020.9,1026.1,1014.2,4.0,,,,,,,5.5,2500.0,1.2,70
182,2019-02-08,5.4,10,17,316,136,20,10,,4.3,1.2,1208,554,1024.4,1026.8,1021.3,,,,,,,,6.0,11000.0,-5.3,55
182,2019-02-09,8.9,17,28,1312,1305,330,350,,4.3,1.2,159,1948,1027.4,1030.6,1023.0,0.0,,,,,,,7.0,2500.0,-4.2,61
182,2019-02-10,6.3,9,15,26,22,360,10,,3.9,1.7,1137,210,1029.5,1031.0,1028.0,0.0,,,,,,,7.1,3000.0,-5.0,57
182,2019-02-11,9.7,17,28,348,404,330,330,,4.2,1.8,1525,2355,1032.1,1034.6,1029.6,0.0,,,,,,,6.9,2500.0,-3.4,61
182,2019-02-12,6.3,13,18,1440,1220,70,50,,7.9,-0.3,1419,307,1032.6,1034.8,1030.4,,,,,,,,3.8,2500.0,-3.2,56
182,2019-02-13,6.4,11,18,840,849,10,20,5.0,7.3,4.8,1,2350,1031.0,1032.3,1029.6,,,,,,,,3.1,8000.0,-3.2,51
182,2019-02-14,5.1,9,14,356,427,10,10,5.0,6.4,3.3,1516,2220,1030.1,1032.3,1027.8,,,,,,,,5.1,9000.0,-2.4,59
182,2019-02-15,5.0,9,15,1332,1324,320,340,60.0,7.4,3.0,1002,145,1024.8,1028.0,1023.0,0.0,,,,,,,7.1,2500.0,1.5,74
182,2019-02-16,10.3,15,24,632,721,330,330,5.0,6.8,2.8,28,2219,1025.2,1026.6,1023.5,,,,,,,,7.0,2500.0,-2.4,63
182,2019-02-17,5.9,10,16,137,134,340,340,,5.5,1.6,1340,2138,1026.9,1028.2,1025.4,,,,,,,,6.1,3000.0,-3.4,61
182,2019-02-18,5.3,15,18,1847,1841,80,90,61.0,9.2,1.6,1351,139,1024.1,1027.5,1019.4,1.5,,,,,,,7.7,3500.0,0.6,67
182,2019-02-19,8.9,27,34,435,325,60,80,51.0,12.4,4.6,1158,2348,1017.8,1024.0,1011.3,10.5,,,,,,,7.4,2000.0,6.6,87
182,2019-02-20,4.7,9,14,1159,1204,360,360,5.0,8.9,3.1,1345,253,1025.9,1027.9,1022.9,,,,,,,,6.0,2000.0,1.2,70
182,2019-02-21,4.8,8,13,512,511,20,30,5.0,7.9,5.2,1314,814,1026.2,1028.1,1024.3,,,,,,,,6.2,9000.0,-0.2,62
182,2019-02-22,4.6,8,13,1238,2125,20,330,10.0,10.5,5.6,1116,138,1021.0,1024.3,1018.9,2.0,,,,,,,7.7,2000.0,3.1,72
182,2019-02-23,7.6,16,21,1525,1530,70,80,10.0,13.0,2.7,1620,511,1022.6,1024.2,1021.4,,,,,,,,4.3,11000.0,2.3,66
182,2019-02-24,6.8,13,18,956,1004,90,90,,13.4,6.9,1053,2400,1023.1,1025.0,1021.4,,,,,,,,2.0,20000.0,2.0,56
182,2019-02-25,4.8,7,12,200,1700,180,320,5.0,11.0,4.8,1436,2347,1022.3,1024.1,1020.6,,,,,,,,4.0,18000.0,1.6,64
182,2019-02-26,4.1,7,10,1158,902,360,360,,10.7,3.3,1504,320,1023.7,1026.8,1021.4,,,,,,,,3.3,12000.0,-0.8,56
182,2019-02-27,7.7,15,21,1021,1017,90,100,61.0,11.7,8.1,1135,50,1020.3,1023.9,1017.5,3.5,,,,,,,8.0,2500.0,6.3,77
182,2019-02-28,6.2,10,16,337,335,10,20,10.0,11.8,5.5,1356,2353,1019.3,1021.5,1017.7,0.5,,,,,,,5.8,3000.0,3.7,67
182,2019-03-01,4.0,7,10,12,1251,220,320,10.0,10.8,4.8,1429,153,1022.6,1024.4,1021.5,,,,,,,,3.9,18000.0,0.7,61
182,2019-03-02,8.2,15,21,1436,1527,100,110,5.0,14.3,5.6,1455,100,1017.6,1021.6,1014.9,0.0,,,,,,,7.8,3000.0,4.7,68
182,2019-03-03,10.0,16,21,428,357,70,80,61.0,13.0,10.0,1030,2219,1012.0,1015.3,1009.1,7.0,,,,,,,8.0,2500.0,6.8,74
182,2019-03-04,7.2,12,21,648,648,10,10,10.0,11.0,5.4,1612,2259,1015.7,1021.4,1010.3,3.0,,,,,,,5.7,2500.0,4.6,75
182,2019-03-05,5.1,9,14,1015,2204,80,110,61.0,12.7,5.1,1134,141,1021.0,1022.3,1019.3,0.0,,,,,,,4.8,2500.0,2.6,62
182,2019-03-06,9.0,15,22,2014,2010,330,340,10.0,12.2,7.8,1345,2348,1016.5,1019.3,1013.9,10.5,,,,,,,5.4,2500.0,6.4,78
182,2019-03-07,10.6,19,29,408,458,330,340,10.0,8.7,4.9,1218,2353,1021.7,1025.1,1017.8,,,,,,,,3.8,2000.0,2.9,73
182,2019-03-08,4.0,6,9,208,717,180,170,,10.7,2.6,1537,652,1025.7,1027.3,1024.6,,,,,,,,1.5,20000.0,1.8,70
182,2019-03-09,7.8,26,34,2227,2204,100,100,61.0,15.2,5.3,1409,632,1020.0,1025.6,1013.4,4.5,,,,,,,7.3,3000.0,4.3,67
182,2019-03-10,13.7,27,36,222,240,90,90,63.0,13.0,7.2,15,2400,1010.9,1013.9,1009.2,13.0,,,,,,,6.7,1000.0,9.0,89
182,2019-03-11,9.8,19,31,1853,1853,270,280,10.0,12.7,4.2,1501,646,1012.5,1014.2,1009.4,1.0,,,,,,,4.5,2500.0,4.6,74
182,2019-03-12,12.7,21,32,1404,1853,260,290,10.0,15.0,3.7,1522,704,1014.8,1021.3,1011.6,,,,,,,,3.8,2500.0,2.9,63
182,2019-03-13,9.7,16,25,152,114,330,340,,10.2,2.7,1358,658,1024.2,1026.7,1021.3,,,,,,,,1.5,,-3.0,48
182,2019-03-14,7.3,10,16,1,18,310,310,,12.3,5.3,1427,405,1025.4,1027.0,1023.5,,,,,,,,3.1,16000.0,-1.8,49
182,2019-03-15,11.9,20,30,2139,1738,320,300,5.0,14.2,4.3,1221,429,1021.7,1025.4,1018.1,0.0,,,,,,,2.4,2500.0,3.1,65
182,2019-03-16,10.0,20,27,2139,2135,220,230,,13.2,5.6,2205,226,1022.6,1025.7,1020.2,,,,,,,,2.0,3000.0,0.1,55
182,2019-03-17,5.8,17,26,17,136,240,240,10.0,12.7,6.8,138,2308,1024.1,1026.3,1020.5,,,,,,,,1.3,,3.2,62
182,2019-03-18,5.2,12,17,1731,1729,170,170,,12.9,5.6,1056,656,1020.5,1024.4,1017.5,1.5,,,,,,,6.2,3000.0,3.6,65
182,2019-03-19,4.3,12,14,1446,1427,270,280,10.0,14.3,6.7,1416,634,1018.5,1020.1,1016.5,,,,,,,,1.9,10000.0,6.5,74
182,2019-03-20,12.1,34,53,2002,1752,200,180,95.0,20.0,7.9,1814,314,1010.7,1019.2,1002.4,2.5,,,,,,,6.4,2000.0,8.5,67
182,2019-03-21,9.8,25,37,5,10,230,240,10.0,19.0,6.8,1,2400,1012.2,1018.2,1004.8,,,,,,,,7.7,2000.0,7.5,83
182,2019-03-22,6.5,11,19,1633,1644,330,330,,8.6,5.9,1440,2034,1020.6,1023.4,1017.7,,,,,,,,4.1,11000.0,0.2,63
182,2019-03-23,9.9,21,32,1828,1823,330,340,60.0,10.5,5.7,1554,2337,1024.2,1026.0,1022.0,0.0,,,,,,,3.5,2500.0,-1.7,51
182,2019-03-24,5.5,9,16,1,2,330,340,,8.9,2.5,1503,644,1024.2,1026.2,1022.1,,,,,,,,2.8,20000.0,-2.0,56
182,2019-03-25,6.0,12,18,1618,1635,270,270,,12.6,5.6,1543,227,1019.5,1022.1,1017.9,,,,,,,,7.3,3000.0,0.6,56
182,2019-03-26,8.5,14,21,957,1028,270,280,10.0,15.8,7.8,1118,341,1020.2,1021.8,1018.7,,,,,,,,1.8,20000.0,8.0,75
182,2019-03-27,13.0,24,32,1404,1400,220,240,,22.9,11.3,1308,1,1016.6,1020.9,1012.8,,,,,,,,4.1,2500.0,3.4,45
182,2019-03-28,4.9,13,17,1,2,250,260,10.0,16.2,12.2,7,646,1013.5,1014.9,1012.3,,,,,,,,6.5,1000.0,10.6,81
182,2019-03-29,3.8,12,17,1013,1009,330,350,10.0,15.5,9.8,1213,559,1014.0,1015.4,1012.7,,,,,,,,4.6,18000.0,7.3,72
182,2019-03-30,10.3,20,33,2002,2048,310,310,,14.0,7.4,126,2315,1016.4,1021.6,1012.7,,,,,,,,5.9,2500.0,3.3,62
182,2019-03-31,14.7,19,32,53,234,330,330,,9.7,6.7,1408,2042,1024.1,1026.4,1021.4,,,,,,,,4.0,4000.0,-4.5,42
182,2019-04-01,10.1,14,22,1713,23,270,330,,11.9,6.8,1548,1,1025.4,1027.4,1023.6,,,,,,,,1.1,,-0.6,50
182,2019-04-02,6.0,13,20,137,131,310,320,10.0,11.3,6.6,1321,2102,1024.4,1025.5,1023.0,,,,,,,,3.3,2000.0,1.3,58
182,2019-04-03,5.6,9,13,922,825,70,130,,12.5,5.3,1350,2400,1025.6,1026.8,1024.6,,,,,,,,1.3,20000.0,-3.7,42
182,2019-04-04,6.9,13,19,2037,2035,270,280,,12.6,3.7,1723,619,1021.2,1025.6,1017.3,,,,,,,,3.3,20000.0,-0.1,51
182,2019-04-05,8.8,13,20,454,1032,260,320,10.0,16.0,10.6,1429,3,1013.8,1017.3,1012.0,,,,,,,,4.4,3000.0,8.4,74
182,2019-04-06,5.7,11,19,1552,1503,280,290,10.0,18.2,7.9,1623,442,1012.7,1014.6,1009.9,,,,,,,,0.8,,9.1,76
182,2019-04-07,6.0,20,30,1523,1521,270,270,10.0,19.6,11.2,1759,204,1010.2,1012.4,1005.9,3.5,3.5,1555.0,3.0,1.5,,,2.4,2500.0,11.1,76
182,2019-04-08,3.5,7,11,946,655,330,160,41.0,16.4,11.1,1851,656,1015.3,1018.0,1012.1,,,,,,,,3.2,2500.0,8.1,73
182,2019-04-09,22.0,42,52,1917,1912,80,90,61.0,17.6,12.4,1318,13,1009.8,1017.7,1001.5,3.5,1.5,1924.0,1.5,1.0,,,7.3,2000.0,9.2,70
182,2019-04-10,10.1,21,29,411,442,80,70,51.0,14.0,9.0,52,1855,1010.5,1016.1,1001.6,5.0,1.5,1.0,1.5,1.5,,,7.8,2000.0,8.0,87
182,2019-04-11,5.7,11,15,1219,1317,80,80,10.0,13.1,9.3,1323,1,1015.5,1017.5,1014.1,,,,,,,,7.4,2000.0,7.0,77
182,2019-04-12,4.6,8,12,428,421,340,340,,14.2,7.8,1223,610,1019.6,1021.6,1016.9,,,,,,,,2.3,10000.0,4.6,62
182,2019-04-13,4.6,9,13,1534,1538,50,60,,16.4,8.3,1604,303,1020.8,1022.2,1019.2,,,,,,,,3.6,16000.0,4.2,57
182,2019-04-14,5.0,14,22,1521,1516,320,330,10.0,16.4,8.5,1131,2350,1017.9,1020.5,1016.4,,,,,,,,5.5,2000.0,7.6,72
182,2019-04-15,4.5,8,13,1416,922,330,90,,15.3,6.2,1203,329,1020.9,1022.4,1019.9,,,,,,,,1.8,20000.0,-0.1,47
182,2019-04-16,4.2,11,15,1437,1415,270,280,,21.7,8.6,1256,611,1017.1,1021.2,1014.2,,,,,,,,6.0,10000.0,6.8,60
182,2019-04-17,6.0,13,17,904,849,60,60,,16.8,11.7,1552,2314,1013.6,1015.7,1012.1,,,,,,,,4.0,9000.0,11.1,78
182,2019-04-18,5.2,11,14,1513,1442,60,90,,21.9,10.4,1454,412,1013.6,1014.9,1012.2,,,,,,,,0.7,,11.0,75
182,2019-04-19,9.2,19,27,1438,1452,70,70,10.0,19.9,12.3,1600,538,1015.6,1017.4,1014.0,,,,,,,,1.3,4500.0,12.8,82
182,2019-04-20,6.7,15,19,1513,1512,70,70,10.0,19.7,14.1,1319,402,1014.9,1016.6,1012.7,,,,,,,,0.9,,13.0,81
182,2019-04-21,4.0,9,13,949,1144,40,40,,21.2,13.1,1451,335,1013.6,1014.8,1012.0,,,,,,,,4.3,6000.0,12.6,76
182,2019-04-22,8.5,25,31,1513,1415,70,80,10.0,23.5,15.0,1641,401,1014.5,1015.4,1013.1,,,,,,,,4.9,6000.0,14.2,77
182,2019-04-23,9.8,31,41,1423,1412,90,90,63.0,25.2,16.9,1721,1,1009.4,1015.1,1004.6,12.0,6.0,1116.0,4.5,3.0,,,5.5,2500.0,15.3,79
182,2019-04-24,7.8,16,25,1201,1159,270,270,51.0,19.4,15.0,1308,2121,1007.5,1009.0,1006.2,0.0,0.0,,0.0,0.0,,,6.7,2000.0,15.8,91
182,2019-04-25,4.5,7,13,405,2333,310,280,46.0,16.4,13.7,1559,848,1008.5,1010.7,1006.9,,,,,,,,7.1,200.0,14.2,94
182,2019-04-26,9.5,14,21,229,205,320,330,50.0,15.1,11.0,1,1354,1014.3,1019.4,1010.2,0.0,0.0,,0.0,0.0,,,8.0,2000.0,7.9,78
182,2019-04-27,11.0,18,24,1602,1921,70,100,,15.8,11.3,1737,1,1020.8,1023.1,1018.5,,,,,,,,5.8,2000.0,7.8,70
182,2019-04-28,12.1,19,24,1623,442,70,100,,17.1,10.4,1101,46,1019.0,1022.3,1016.9,0.0,0.0,,0.0,0.0,,,7.0,4000.0,8.4,68
182,2019-04-29,13.3,21,27,839,1150,70,70,50.0,18.7,13.8,1212,1642,1011.1,1016.9,1007.4,9.5,4.0,2016.0,2.5,1.0,,,8.0,2500.0,14.7,95
182,2019-04-30,6.6,14,18,23,20,70,80,51.0,17.0,14.0,1255,2329,1009.2,1010.6,1007.8,1.0,0.5,1.0,0.5,0.5,,,7.4,2000.0,14.1,94
182,2019-05-01,6.3,11,18,1348,1400,300,310,10.0,16.3,10.5,1016,2315,1009.7,1012.1,1008.4,,,,,,,,6.5,2000.0,10.7,84
