지점,일시,평균풍속(KT),최대풍속(KT),최대순간풍속(KT),최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최대풍속 풍향(deg),최대순간풍속 풍향(deg),최단시정현상,최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균운량(1/8),5/8이상최저운고(FT),평균이슬점온도(°C),평균상대습도(%)
110,2019-03-16,4.9,12,17,1416,1244,290,230,47.0,9.8,-4.3,1328,651,1020.9,1022.3,1018.3,,,,,,,,4.2,100.0,-2.9,66
110,2019-03-17,4.4,11,17,1555,1548,290,290,11.0,11.9,-1.6,1408,453,1023.6,1025.4,1021.3,,,,,,,,0.8,,-3.7,59
110,2019-03-18,4.3,13,18,1554,1553,300,300,10.0,13.4,-3.3,1312,524,1020.7,1024.7,1017.2,,,,,,,,4.8,20000.0,-6.3,48
110,2019-03-19,3.7,9,16,942,1624,160,240,10.0,15.6,-0.6,1521,549,1017.3,1018.9,1015.6,,,,,,,,2.0,2500.0,-0.9,59
110,2019-03-20,4.5,11,16,1413,1406,220,230,47.0,15.1,1.7,1239,544,1011.1,1018.6,1000.3,17.0,,,,,,,6.9,500.0,4.7,79
110,2019-03-21,8.8,20,31,1312,1318,280,290,51.0,12.8,1.6,1146,2254,1008.6,1017.5,999.7,3.0,,,,,,,5.5,2000.0,2.5,73
110,2019-03-22,8.8,14,21,1442,1251,340,350,,8.5,-1.3,1517,533,1020.5,1023.2,1017.5,,,,,,,,0.8,,-9.8,40
110,2019-03-23,7.9,19,27,1150,1141,300,290,95.0,8.4,-3.9,1520,612,1021.4,1023.6,1018.8,1.0,,,,,,,2.3,2000.0,-7.4,49
110,2019-03-24,6.2,15,22,1423,1151,230,270,,9.4,-4.4,1450,610,1021.9,1023.7,1019.4,,,,,,,,0.0,,-7.0,50
110,2019-03-25,8.3,15,26,1554,1340,230,230,,12.6,-0.3,1446,306,1017.5,1020.8,1015.6,,,,,,,,4.3,1800.0,-1.3,57
110,2019-03-26,4.1,10,18,1156,1155,360,360,10.0,17.4,4.3,1420,2349,1017.7,1019.5,1016.1,,,,,,,,2.2,1100.0,0.4,55
110,2019-03-27,9.1,21,33,1231,1508,220,230,10.0,16.5,4.1,1318,105,1013.1,1017.3,1009.6,,,,,,,,5.2,2000.0,4.2,66
110,2019-03-28,5.2,11,20,1644,1637,290,280,10.0,14.4,3.0,1446,646,1014.4,1016.3,1012.5,,,,,,,,4.6,800.0,-1.9,53
110,2019-03-29,6.0,13,17,1520,1518,310,300,,13.6,4.8,1445,218,1014.7,1015.8,1013.1,,,,,,,,3.5,8000.0,-6.8,35
110,2019-03-30,9.0,20,32,1431,1610,280,270,10.0,9.4,3.7,1444,240,1013.3,1015.5,1010.9,2.5,,,,,,,7.0,2000.0,-0.4,69
110,2019-03-31,9.4,18,26,1738,1734,270,270,,9.8,1.2,1538,2323,1019.6,1023.4,1014.9,,,,,,,,4.4,2500.0,-7.7,43
110,2019-04-01,7.0,16,22,1534,1534,300,290,,11.2,-2.7,1339,527,1023.0,1024.9,1021.4,,,,,,,,1.5,22000.0,-8.5,42
110,2019-04-02,6.7,17,19,1649,1630,280,280,,12.9,-2.9,1424,324,1023.0,1024.5,1020.9,,,,,,,,0.4,,-6.3,47
110,2019-04-03,5.5,15,18,1415,1411,280,270,,13.9,-1.8,1304,559,1023.6,1025.2,1021.7,,,,,,,,0.3,,-4.3,51
110,2019-04-04,8.8,17,25,1350,1755,250,230,10.0,14.7,0.2,1231,313,1018.2,1023.3,1013.3,,,,,,,,0.5,,-0.7,57
110,2019-04-05,7.9,17,27,1538,1636,260,270,10.0,17.1,5.0,1500,238,1010.0,1013.7,1007.7,,,,,,,,2.8,1000.0,0.3,54
110,2019-04-06,3.3,12,18,2006,2003,20,20,,12.7,1.9,1128,359,1012.4,1014.2,1010.1,1.1,0.7,1521.0,0.7,0.6,,,5.9,4000.0,0.4,59
110,2019-04-07,6.0,14,21,1855,1855,280,280,46.0,19.5,2.1,1437,612,1010.9,1013.3,1007.9,,,,,,,,3.0,100.0,-0.4,55
110,2019-04-08,7.1,16,24,1204,1201,310,320,,18.1,3.7,1448,451,1015.1,1019.1,1011.8,,,,,,,,2.9,20000.0,-4.8,36
110,2019-04-09,9.1,19,27,1705,1752,50,70,61.0,14.8,5.3,1408,2333,1016.4,1019.4,1012.0,13.7,3.1,1758.0,2.1,0.9,,,7.0,2500.0,-1.3,53
110,2019-04-10,5.0,12,16,1103,1104,330,330,61.0,10.7,3.9,1632,2343,1013.0,1016.0,1010.9,3.4,0.6,150.0,0.4,0.2,,,6.3,2500.0,4.6,85
110,2019-04-11,4.0,13,20,1623,1619,270,260,46.0,16.2,0.6,1340,504,1015.4,1016.9,1013.8,,,,,,,,4.7,500.0,2.4,70
110,2019-04-12,4.9,14,23,1605,1632,280,270,10.0,18.1,1.4,1401,547,1018.2,1020.6,1016.2,,,,,,,,2.2,12000.0,1.5,61
110,2019-04-13,5.4,12,27,1609,1507,230,210,10.0,17.6,2.5,1444,434,1020.0,1021.9,1018.2,,,,,,,,4.5,15000.0,-2.2,47
110,2019-04-14,7.6,20,31,1832,1752,330,310,61.0,14.6,5.1,1510,2357,1015.5,1018.3,1012.1,1.5,0.9,913.0,0.7,0.4,,,4.3,2500.0,0.3,56
110,2019-04-15,5.3,14,24,1408,1712,230,240,,17.5,1.3,1336,531,1018.9,1019.9,1017.5,,,,,,,,0.0,,-2.1,46
110,2019-04-16,3.9,11,21,1502,1615,230,230,,22.4,3.2,1429,556,1017.5,1020.0,1015.1,,,,,,,,3.8,20000.0,-2.5,40
110,2019-04-17,4.8,13,24,1216,1517,250,270,,20.8,4.3,1337,503,1013.0,1016.0,1010.8,,,,,,,,2.0,20000.0,4.2,59
110,2019-04-18,6.1,15,28,1249,1402,220,220,41.0,16.8,7.4,1249,2400,1012.1,1014.6,1010.2,,,,,,,,5.0,700.0,8.6,83
110,2019-04-19,5.2,11,17,1050,1138,100,100,10.0,19.8,7.3,1628,1,1016.2,1018.3,1014.5,,,,,,,,3.9,500.0,6.5,66
110,2019-04-20,5.6,11,22,1229,1127,240,240,61.0,19.5,9.1,1453,257,1015.3,1017.2,1013.5,0.8,0.4,2223.0,0.2,0.1,,,5.1,500.0,8.9,73
110,2019-04-21,4.2,12,22,1633,1633,290,290,10.0,19.7,9.9,1555,2348,1013.8,1015.5,1012.1,0.0,0.0,,0.0,0.0,,,6.4,300.0,11.1,84
110,2019-04-22,3.6,10,16,1727,904,300,240,10.0,27.9,7.3,1432,511,1015.0,1016.8,1012.6,,,,,,,,1.2,20000.0,8.6,65
110,2019-04-23,3.3,10,16,1818,1812,230,230,10.0,25.0,11.8,1153,612,1012.6,1015.9,1009.9,,,,,,,,6.5,10000.0,11.5,65
110,2019-04-24,4.2,15,21,1549,1541,300,300,61.0,24.8,13.9,1338,2313,1006.8,1011.0,1004.3,2.4,0.7,133.0,0.4,0.2,,,3.9,2500.0,13.7,77
110,2019-04-25,7.7,14,20,930,850,90,90,61.0,17.2,8.9,913,2356,1007.0,1008.3,1005.9,6.7,1.7,1512.0,1.3,0.7,,,7.2,2000.0,9.9,82
110,2019-04-26,6.0,10,15,1424,1700,40,20,60.0,10.4,5.5,1341,2400,1013.2,1019.8,1007.9,1.7,0.6,723.0,0.4,0.3,,,6.9,2000.0,6.1,84
110,2019-04-27,4.4,11,16,1424,1318,290,310,,18.0,2.4,1446,447,1021.6,1024.1,1019.6,,,,,,,,3.3,15000.0,4.2,67
110,2019-04-28,4.7,11,23,1604,1447,270,280,,18.1,8.5,1347,2344,1020.9,1023.4,1018.8,0.1,0.1,544.0,0.1,0.1,,,6.0,4000.0,4.9,61
110,2019-04-29,3.4,8,11,1632,1057,330,130,,18.1,7.4,1719,529,1014.7,1019.9,1010.8,,,,,,,,5.4,10000.0,5.4,64
110,2019-04-30,4.3,12,17,1623,1637,290,280,10.0,22.3,6.1,1406,507,1009.2,1011.4,1006.8,,,,,,,,2.8,15000.0,6.8,65
110,2019-05-01,6.6,15,21,1421,1412,280,280,,22.1,8.8,1342,612,1006.8,1008.5,1004.0,,,,,,,,1.8,4000.0,7.1,58
