지점,일시,평균풍속(KT),최대풍속(KT),최대순간풍속(KT),최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최대풍속 풍향(deg),최대순간풍속 풍향(deg),최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균운량(1/8),5/8이상최저운고(FT),평균이슬점온도(°C),평균상대습도(%)
182,2017-01-26,5.4,12,18,2128,2130,260,260,7.9,-.3,1614,606,1029.6,1033.7,1026.3,,,,,,,,2.6,,-2.5,61
182,2017-01-27,7.8,19,30,710,709,310,330,11.3,1.2,648,2352,1027.8,1029.8,1024.4,,,,,,,,4.2,2500,-2.6,55
182,2017-01-28,5.8,10,13,1204,1136,70,70,11.5,-.3,1501,5,1025.5,1029.1,1021.5,,,,,,,,2.3,12000,-1.1,60
182,2017-01-29,5.3,13,21,2239,2250,300,310,14.7,6.2,1339,136,1017,1021.5,1014.2,2,,,,,,,7.3,2500,8.3,81
182,2017-01-30,12.9,19,33,542,544,330,340,9.2,1.2,1,2206,1026.3,1030.6,1017.4,2,,,,,,,7.1,2500,-3.3,60
182,2017-01-31,5.6,10,17,1816,1814,310,320,4.3,1,1805,728,1028.3,1030.8,1026,,,,,,,,5.3,2500,-4.9,57
182,2017-02-01,8.1,14,23,1424,1935,330,330,5.9,2.3,1335,2233,1029.5,1032.1,1026.6,0,,,,,,,4.6,2500,-4.9,54
182,2017-02-02,3.8,7,14,20,15,360,10,6.2,-.9,1609,632,1031.2,1033.2,1029.3,,,,,,,,.6,,-5.4,54
182,2017-02-03,4.4,7,10,629,1258,170,60,8.6,.6,1522,356,1027.1,1029.5,1024.4,,,,,,,,3.6,11000,-3,56
182,2017-02-04,3.3,6,13,901,2119,150,150,11.5,7.2,1437,322,1019.9,1024.6,1015,3,,,,,,,7.7,3000,2.3,62
182,2017-02-05,12.8,20,30,1237,1352,310,310,11.5,7.3,29,2313,1016.1,1020.2,1013.1,2,,,,,,,7.6,2500,3.7,71
182,2017-02-06,10.3,18,27,38,23,320,340,7.5,3.4,21,2400,1023.7,1026.6,1020.2,,,,,,,,5.4,3500,-3.9,53
182,2017-02-07,4.3,7,12,52,49,360,10,7.4,2.8,1342,708,1024.7,1027,1022.4,,,,,,,,4.6,18000,-4.5,52
182,2017-02-08,7.5,18,29,2312,2309,330,340,7.1,2.9,1317,17,1020.1,1022.5,1018,1,,,,,,,6.9,2500,-2.2,60
182,2017-02-09,18.8,24,37,1915,1157,330,340,4.5,.4,357,2056,1018.4,1020.3,1017,0,,,,,,,7.2,2500,-4.9,57
182,2017-02-10,18.5,26,40,421,420,320,330,2.9,-.7,1132,634,1020.8,1024.3,1018.4,0,,,,,.7,.7,7,3500,-5.2,62
182,2017-02-11,16.2,24,41,106,309,300,330,3.9,-.9,2243,109,1026.5,1028.9,1023.6,.5,,,,,.2,.7,6.7,2500,-4.7,59
182,2017-02-12,8.5,14,23,4,3,330,340,6.7,.7,1421,2359,1030,1031,1028.5,,,,,,,,4.7,3500,-6,47
182,2017-02-13,6.2,13,24,2208,2332,270,280,9.8,.1,1621,405,1031.9,1033.3,1031,,,,,,,,.2,,-5.3,47
182,2017-02-14,7.5,18,26,116,115,310,320,10.1,2.7,49,2315,1033.6,1035.4,1031.4,,,,,,,,1.5,,-2.6,52
182,2017-02-15,4.3,7,10,1220,705,360,180,9.8,1.4,1517,701,1030.8,1033.6,1027,,,,,,,,.9,,-1.9,59
182,2017-02-16,13.4,25,39,2222,2233,220,220,18.6,4.2,1348,223,1021.5,1027,1017.7,0,,,,,,,3.6,3000,4,58
182,2017-02-17,10.1,23,37,106,59,230,230,16.5,3.9,116,2335,1022.6,1027.2,1017,0,,,,,,,5.2,2000,1.7,61
182,2017-02-18,7.8,12,21,1408,1534,320,330,6,1.2,1326,2302,1027.4,1028.6,1026.5,,,,,,,,2.7,3000,-5.7,50
182,2017-02-19,12.1,35,55,2241,2213,210,210,16.2,-1.7,1917,658,1018.2,1028.7,1009.4,,,,,,,,1.3,,-4.1,41
182,2017-02-20,13.8,34,50,243,37,220,220,17.2,2.1,154,1930,1017.6,1028.4,1007.7,1,,,,,,,6.6,2500,1.4,64
182,2017-02-21,10.4,21,28,1636,1651,90,100,12.2,2.1,1520,726,1027.9,1031.3,1023.6,,,,,,,,2,15000,-1.5,56
182,2017-02-22,9.6,19,30,1322,1322,260,260,15.6,6.4,1317,2351,1014.9,1023.7,1010.3,23,,,,,,,7.9,2500,6.2,77
182,2017-02-23,13.5,18,30,200,232,320,330,6.6,2.8,1,2332,1021.3,1025.7,1015.5,0,,,,,,,6.8,3000,-3.2,57
182,2017-02-24,7.5,14,23,115,340,330,330,6.4,2.9,1430,5,1026.1,1027.2,1025.2,,,,,,,,4.1,3000,-5.5,49
182,2017-02-25,7,11,17,1529,1536,310,310,9.7,3.5,1419,132,1024.5,1027,1022.4,,,,,,,,4.2,4000,-2.4,49
182,2017-02-26,4.2,7,11,100,1413,200,330,10.3,4,1359,548,1025,1027.1,1023.7,,,,,,,,4.8,18000,-2.5,50
182,2017-02-27,4.6,8,13,1224,1233,20,10,10.3,1.7,1358,403,1026.7,1027.7,1024.9,,,,,,,,2.5,3000,-1.9,55
182,2017-02-28,4.8,7,12,47,751,180,160,11.8,3.1,1507,506,1025.5,1027.8,1022.6,,,,,,,,1.2,20000,-3.8,46
182,2017-03-01,8.7,24,40,2321,2315,310,310,15.5,6,1450,639,1017.2,1022.9,1012.8,1,,,,,,,6,2500,.4,52
182,2017-03-02,14.8,24,35,2,109,300,320,8.4,4.4,19,1230,1019.4,1022.8,1015.7,0,,,,,,,7.1,3000,-3,54
182,2017-03-03,4.4,8,13,3,9,330,350,9.5,1,1429,439,1021.4,1023.7,1019.4,,,,,,,,3.7,16000,-3.1,51
182,2017-03-04,4.1,8,12,1433,1506,320,340,12.9,5.2,1511,314,1018.9,1020.3,1017.6,,,,,,,,4.2,2500,2.4,61
182,2017-03-05,5.4,10,16,2223,2306,340,340,12.1,7.1,1609,515,1016.8,1018.8,1014,,,,,,,,6.5,2500,2.8,64
182,2017-03-06,10.5,16,26,1404,1932,330,340,9,3.8,49,2126,1018.4,1020.4,1016,,,,,,,,3.9,20000,-5.2,46
182,2017-03-07,11.2,19,33,938,933,300,310,8.4,1.5,909,504,1018.9,1020.8,1017.6,.5,,,,,,,5.8,2500,-4.4,54
182,2017-03-08,14.2,19,33,1803,1800,310,310,7.3,2.9,2125,17,1018.7,1020.6,1017,0,,,,,,,6.5,3000,-5.1,47
182,2017-03-09,11.9,16,27,1,1705,310,270,12.2,6.7,1431,1,1017.5,1019.3,1015.6,,,,,,,,.8,,-4.6,38
182,2017-03-10,5.6,12,21,30,30,280,280,12.5,5.4,1452,642,1020.5,1022.6,1018,,,,,,,,2,20000,-3.9,40
182,2017-03-11,5.2,9,11,1659,1318,60,50,13.9,4.9,1552,429,1023.4,1025,1021.9,,,,,,,,2.2,20000,-5.7,33
182,2017-03-12,6.3,13,19,1642,1608,360,10,15.2,4.9,1429,353,1021.1,1023.6,1018.4,,,,,,,,4.3,12000,-.3,46
182,2017-03-13,6.1,11,17,1830,1829,10,20,12.5,8.7,1,2323,1017.8,1020.4,1015.1,0,,,,,,,7.3,8000,1,54
182,2017-03-14,9.5,15,24,1658,2148,330,10,10.4,6.3,1227,2316,1020.6,1023.7,1017.5,,,,,,,,2.5,15000,-2.2,49
182,2017-03-15,6.5,12,20,29,10,360,360,10.4,5.6,1558,222,1023.9,1025.2,1022.5,,,,,,,,1.1,,-2.9,48
182,2017-03-16,4.8,7,11,226,1151,180,360,10.9,3.3,1233,337,1022.3,1023.8,1021,,,,,,,,4.8,12000,.4,60
182,2017-03-17,5.1,8,11,1133,1042,30,100,12.1,3.7,1421,556,1024,1025.3,1022.9,,,,,,,,1,,-2.2,49
182,2017-03-18,5.4,10,14,1338,1419,70,90,13.9,5.5,1543,624,1024.2,1025.3,1022.8,,,,,,,,4.4,11000,.7,54
182,2017-03-19,9,18,24,1414,1425,70,80,15.6,6,1333,558,1024.5,1026.8,1023.1,,,,,,,,4.4,15000,1.4,50
182,2017-03-20,14,23,28,2007,1848,70,80,13.6,9.6,809,2356,1016.7,1023.3,1012.8,16,,,,,,,7.5,2500,7.2,75
182,2017-03-21,11.4,18,27,241,615,360,360,10.3,7,1119,2314,1019.2,1023.1,1013.9,1,,,,,,,2.5,2500,.9,59
182,2017-03-22,3.5,8,13,11,8,20,10,11,4.2,1421,432,1021.5,1022.9,1020,,,,,,,,5.7,10000,.3,57
182,2017-03-23,5.1,11,17,1007,1036,40,60,12.4,6.4,1645,2313,1021,1022.5,1019,7,,,,,,,6.2,3000,2.3,63
182,2017-03-24,6,16,20,1501,1455,70,70,14.4,5.4,1245,138,1020.4,1022.8,1017.9,,,,,,,,6.5,11000,2.9,59
182,2017-03-25,5.1,13,19,1352,1327,10,360,11.4,7.5,1113,2331,1019.3,1020.8,1018.3,3,,,,,,,7.7,2000,5.1,73
182,2017-03-26,7.3,13,22,1630,2035,310,300,10.7,5.8,1030,603,1020,1022.1,1018.6,0,,,,,,,6.5,2000,2.3,67
182,2017-03-27,10.4,15,24,901,843,310,310,11.1,6.5,1605,2150,1023.2,1025.1,1021.2,,,,,,,,3.4,3000,1.2,57
182,2017-03-28,5.7,11,17,4,3,300,310,13.6,5.5,1419,453,1023.8,1026.1,1020.5,0,,,,,,,3.1,4000,.1,48
182,2017-03-29,9,40,54,220,217,190,200,16.2,11,1155,2331,1019.8,1022.5,1016.8,0,,,,,,,6.9,2500,8.5,71
182,2017-03-30,4.4,8,11,1316,238,20,360,13.6,10.7,1610,624,1021.2,1023.8,1018.8,,,,,,,,5.7,2500,5.4,66
182,2017-03-31,7.1,15,21,557,554,40,50,12.1,9,41,535,1018.5,1019.8,1017,14,,,,,,,7.4,2500,5.2,71
182,2017-04-01,8,12,20,1155,1901,330,310,12.1,8.1,1530,514,1017.8,1019.7,1016.1,,,,,,,,3.3,3000,3.5,64
182,2017-04-02,6,10,16,548,547,250,270,13.9,6.2,1546,2351,1020.5,1022.9,1018.4,,,,,,,,2.3,11000,-1,46
182,2017-04-03,6.4,9,15,533,1432,220,290,15.9,5.6,1401,539,1024.9,1026.1,1022.9,,,,,,,,.2,,-1.7,42
182,2017-04-04,3.9,9,11,1607,1603,50,50,16.2,7.6,1211,320,1024.6,1027.1,1021.5,,,,,,,,3,12000,3.8,54
182,2017-04-05,15,30,48,2353,2152,220,220,20,12.2,1808,104,1017.1,1021.6,1012.9,.5,.5,2237,.5,.5,,,8,4000,9.2,58
182,2017-04-06,10.9,28,39,30,130,220,240,18.9,13.8,310,2202,1012.9,1014.1,1011.6,21,4,1018,2.5,1,,,8,2500,13.5,85
182,2017-04-07,5.5,12,16,1505,1613,60,70,17.2,11.1,1706,830,1013.2,1015.1,1011,.5,.5,300,.5,.5,,,6.5,200,11.6,85
182,2017-04-08,6.5,11,14,326,500,70,70,17,10.5,1259,2228,1012.6,1014.3,1010.7,0,0,,0,0,,,5.6,2500,11.1,84
182,2017-04-09,10.9,23,33,2200,2241,100,100,15.7,9.9,1638,335,1013.1,1014.8,1011.6,0,0,,0,0,,,7.1,2500,9.1,78
182,2017-04-10,19.5,29,40,1205,1138,90,100,14.5,12.1,947,1759,1009.4,1014.2,1006.2,.5,.5,2028,.5,.5,,,8,2000,8.8,75
182,2017-04-11,7.5,15,21,1,21,80,70,13.9,9.6,1330,2034,1009.3,1014.4,1005.8,8,2,28,1.5,1,,,6.1,2000,7.3,75
182,2017-04-12,5.5,12,18,1704,1701,320,330,15.6,7.3,1209,2353,1017.1,1020.7,1014.1,,,,,,,,4,18000,-.3,44
182,2017-04-13,7.6,11,17,1446,1432,280,280,18.1,7.7,1058,16,1020.3,1022.1,1018.9,,,,,,,,0,,-1.8,35
182,2017-04-14,16.2,31,43,1205,1026,220,210,22.1,13,1310,37,1015,1019.4,1012.3,,,,,,,,1.1,,4.6,42
182,2017-04-15,4.8,14,22,32,9,250,260,20.2,15.2,1215,2336,1015.4,1016.5,1013.9,0,0,,0,0,,,4.4,200,13.5,76
182,2017-04-16,4.5,10,14,1406,1417,270,280,17,13.1,1221,710,1014.5,1016.5,1010.7,,,,,,,,5.5,200,13.6,90
182,2017-04-17,10.3,25,34,1038,1031,230,230,20.1,11.3,817,2313,1002.6,1010.9,997.4,12,6,833,3.5,3,,,7.1,200,13.7,87
182,2017-04-18,10.9,23,34,1449,1443,260,270,22.6,9.8,1407,429,1003.7,1009.1,999.9,,,,,,,,1.6,3000,9.8,72
182,2017-04-19,4.9,10,15,1217,1209,310,320,16.1,9.6,1322,558,1012.9,1014.9,1009.2,,,,,,,,3.3,12000,.1,41
182,2017-04-20,4.7,11,14,2327,1009,70,290,16.5,10.4,1439,237,1011.7,1014.7,1009.2,,,,,,,,7.4,2500,5.6,58
182,2017-04-21,4.8,11,13,1113,9,30,100,16.2,11.7,1059,521,1011.1,1012.7,1009.8,0,0,,0,0,,,7.1,2500,8.6,72
182,2017-04-22,5.3,10,14,1108,1125,30,40,16,8,1203,2355,1013.9,1017.1,1011.3,,,,,,,,2.2,20000,7.7,71
182,2017-04-23,4,7,11,1153,1309,30,20,16.9,7.7,1525,34,1018.6,1020,1016.8,,,,,,,,.3,,6.5,65
182,2017-04-24,4.5,11,18,1422,1415,60,80,20.4,9.6,1414,401,1019.5,1020.9,1017.8,,,,,,,,.6,,5.6,51
182,2017-04-25,4.6,10,14,238,221,260,280,20.6,14.7,1520,618,1018.9,1020.5,1017.9,,,,,,,,5.5,11000,10.7,64
182,2017-04-26,4.5,12,15,1250,1252,70,80,17.5,11,957,2110,1016.1,1018.3,1014,6,2,629,1.5,.5,,,7.1,2500,10.3,76
182,2017-04-27,5.1,9,15,1541,1527,280,280,15.5,10.1,1506,320,1015.4,1016.9,1014.1,,,,,,,,4.1,13000,3.1,53
182,2017-04-28,11.3,17,25,2318,2311,230,240,20.2,11.1,1628,209,1010.9,1014.6,1008.2,,,,,,,,0,,3.7,44
182,2017-04-29,9.1,20,30,334,136,260,240,23.1,14.2,1818,617,1009.9,1011.1,1007.8,,,,,,,,0,,7,52
182,2017-04-30,16.2,22,31,1128,1056,240,260,26.4,18.7,1240,2335,1011.5,1014,1010.2,,,,,,,,0,,2.6,27
182,2017-05-01,8.7,16,24,111,110,260,270,20.1,14.6,3,1635,1016.7,1019.3,1013.6,,,,,,,,2.9,200,11.5,72
182,2017-05-02,12.5,22,28,1414,1054,70,80,21.8,14.4,1245,316,1020.4,1022,1018.7,,,,,,,,5.9,18000,10.9,67
182,2017-05-03,10.2,20,27,1215,1215,60,70,24.9,11.7,1611,557,1020.2,1022,1018.1,,,,,,,,.4,,10.6,61
182,2017-05-04,9.7,20,30,1116,1111,120,110,25.6,15.1,1202,528,1015.6,1019.3,1013.5,8.5,3.5,1942,2.5,1,,,4.8,2500,13,67
182,2017-05-05,6,16,23,1720,1721,260,270,22.5,16.6,935,2228,1013.4,1016.2,1011.8,0,0,,0,0,,,6.8,2000,16.1,84
182,2017-05-06,4.1,11,19,110,106,330,330,19.5,13.3,1259,2205,1018.4,1019.9,1015.6,,,,,,,,5.2,12000,5.7,53
182,2017-05-07,7.4,11,17,1101,1745,270,280,22.5,12.3,1202,33,1018,1019.6,1016.2,,,,,,,,2.6,18000,-2.8,25
182,2017-05-08,4.5,21,33,2306,2303,110,110,20.3,13.2,1028,519,1015.5,1017.9,1012.4,0,0,,0,0,,,5.8,2500,-.3,32
182,2017-05-09,12.2,27,37,924,939,90,100,19.5,13,1453,401,1008.5,1014.6,1006.2,8.5,2.5,423,2.5,1.5,,,7.6,2500,11.6,76
182,2017-05-10,8.5,16,24,406,403,260,270,16.4,13.6,1424,2302,1012.8,1014.9,1008.6,1,.5,250,.5,.5,,,4,2500,11.8,82
182,2017-05-11,11.7,24,35,444,732,230,230,26.9,13.5,1122,20,1013.2,1014.7,1012.1,,,,,,,,3.7,15000,13,58
182,2017-05-12,9.5,22,30,1955,2027,130,30,20.5,15.3,1954,2051,1010.3,1013,1003.1,24,14,539,8,4.5,,,7.9,2000,15,84
182,2017-05-13,5.7,13,20,1856,1859,270,280,21.6,13.2,1825,548,1009.1,1011.8,1007.4,,,,,,,,2.6,12000,12.9,76
182,2017-05-14,4.4,9,13,1807,1730,270,290,21,13,1408,621,1013.5,1015,1011.3,,,,,,,,3.5,200,9,69
182,2017-05-15,4.1,7,9,1222,1242,320,320,19.6,10.8,1134,534,1015.5,1017,1014.4,,,,,,,,4.8,18000,5.2,33
182,2017-05-16,4.1,8,12,1536,1523,310,320,18.3,12.2,944,45,1012.8,1015.2,1011.2,,,,,,,,6.6,11000,7,57
182,2017-05-17,5.5,8,12,442,848,210,270,19.2,12.8,1621,414,1012.8,1015.7,1010.7,,,,,,,,1,11000,8.1,57
182,2017-05-18,5,8,11,1206,1205,320,330,22.3,13.1,1022,200,1017.1,1018.5,1015.3,,,,,,,,.4,,7,49
182,2017-05-19,3.3,8,10,1548,1523,310,310,23.3,13.9,1212,450,1018,1019,1016.7,,,,,,,,1.1,,8.7,53
182,2017-05-20,3.2,7,9,1750,1043,70,50,22.6,15.1,1328,339,1016.8,1018.3,1014.9,,,,,,,,6.1,18000,8.5,52
182,2017-05-21,2.8,7,12,1305,1243,20,50,24.1,15.9,1405,319,1015.3,1016.8,1014,,,,,,,,6.1,13000,12.5,61
182,2017-05-22,5.1,12,17,957,1038,60,50,26.3,15.8,1218,536,1014.2,1015.6,1012.6,,,,,,,,.9,13000,13.6,65
182,2017-05-23,3.1,8,12,1933,2010,150,360,23.9,16.1,1356,354,1011.3,1013.8,1009,0,0,,0,0,,,5.5,4000,14.2,70
182,2017-05-24,3.8,9,12,1303,1235,30,40,22.7,18,1152,509,1008.6,1010.2,1007.4,.5,.5,946,.5,.5,,,7,100,16.5,83
182,2017-05-25,5.1,11,16,2036,2027,310,320,23.6,13.9,1553,2354,1008.6,1009.9,1007.4,,,,,,,,4.6,3500,11,66
182,2017-05-26,6,10,15,1546,1340,310,310,19.5,11.8,1552,418,1011.3,1013.6,1009.2,,,,,,,,.3,,6.9,55
182,2017-05-27,4.4,7,11,1025,1315,10,330,20.3,11.2,1440,403,1013.8,1014.9,1012.6,,,,,,,,0,,5.3,48
182,2017-05-28,3.9,9,11,1121,1200,30,20,22.3,14.3,1724,417,1014.5,1015.6,1013.6,,,,,,,,0,,7.7,49
182,2017-05-29,4.4,11,17,1350,1455,280,290,24.6,15.8,1403,525,1014.3,1015.7,1013,,,,,,,,.8,,8.5,46
182,2017-05-30,4.2,10,16,1411,1328,280,290,25.8,17.5,1021,415,1011.1,1013.2,1008,,,,,,,,4.3,20000,12.1,60
182,2017-05-31,4.8,9,14,1451,57,30,260,25.5,18.3,1239,344,1004,1008.7,1000.5,,,,,,,,5.2,13000,16.1,72
182,2017-06-01,5.8,13,19,718,714,260,260,24.9,16.7,835,2317,1001.8,1004.4,1000.3,,,,,,,,5.8,200,16,77
182,2017-06-02,4.6,8,10,250,1046,220,350,22.4,14.4,1417,443,1005.7,1008.1,1004.1,,,,,,,,1.8,13000,10.5,60
182,2017-06-03,4.8,9,13,952,928,80,80,24.4,14.9,929,308,1009.3,1011.2,1007.2,,,,,,,,3.1,20000,9.3,54
182,2017-06-04,5.1,11,14,1124,1045,30,50,21.9,14,1400,456,1011.8,1014.5,1010.4,,,,,,,,2.5,20000,9.7,55
182,2017-06-05,9.2,19,24,1422,1359,70,70,26.7,17.4,1718,532,1014.6,1016.6,1013.6,,,,,,,,6.3,15000,11.1,52
182,2017-06-06,13.2,24,33,1132,1139,80,90,26.5,18.8,2203,1143,1011,1015.9,1006.7,2.5,1,1039,1,.5,,,7.8,3000,14.9,69
182,2017-06-07,10,19,28,47,44,230,240,25.5,17.1,26,2400,1009.2,1012.2,1007,1.5,.5,210,.5,.5,,,6.9,2500,15.6,77
182,2017-06-08,5.9,9,13,1559,1419,280,310,22.5,16.1,1353,316,1012.6,1014.1,1011.5,,,,,,,,3.3,2500,12.6,67
182,2017-06-09,7.4,14,19,1750,1752,260,260,25.5,16.2,1744,1,1010.6,1012.1,1008.5,,,,,,,,4.9,14000,11.1,53
182,2017-06-10,5.6,11,15,45,39,260,260,26,20.1,818,2255,1007.7,1010.1,1005.2,1,.5,1940,.5,.5,,,6.8,2500,16.5,69
182,2017-06-11,4.8,10,14,1528,1357,310,310,24.2,19,1322,2122,1008.6,1011.8,1005.5,0,0,,0,0,,,7.3,3000,17,79
182,2017-06-12,14.5,21,27,954,1449,80,70,24.2,18.7,1133,340,1013.1,1015.2,1011.2,,,,,,,,6.2,18000,14.4,70
182,2017-06-13,13.8,24,30,1055,1048,70,80,21.4,16.9,1604,2227,1014.1,1015.2,1013.1,,,,,,,,5.7,20000,13.9,73
182,2017-06-14,5.1,9,12,1051,1151,360,360,22.3,14,1332,424,1012.4,1013.8,1011.3,,,,,,,,1.6,20000,12.6,69
182,2017-06-15,5.9,9,12,1637,1237,270,320,24.1,14.9,1445,522,1011,1012.2,1009.9,,,,,,,,2.8,20000,11,60
182,2017-06-16,7.6,16,20,1725,1403,70,70,24.7,17.7,919,143,1010.7,1011.6,1009.7,,,,,,,,2.8,20000,13.8,63
182,2017-06-17,9.9,23,28,1312,1116,70,80,25.3,17.4,1655,408,1010.5,1011.5,1009.2,,,,,,,,.3,,15.9,73
182,2017-06-18,4.7,7,11,1044,706,360,190,25.1,17.8,1300,502,1011.3,1012.6,1010.2,,,,,,,,1,20000,15.1,68
182,2017-06-19,4,6,9,1100,618,320,260,25.1,19.1,1316,337,1010.2,1012.3,1008.1,,,,,,,,5.2,20000,15.8,68
182,2017-06-20,10.1,19,25,1731,1620,80,80,24.6,19.5,922,2006,1003.7,1008.2,1001.4,9,3,1033,2,1,,,7.7,2000,17.4,77
182,2017-06-21,4,10,11,1,1312,90,310,23.7,18.9,1052,535,1007.6,1010.2,1003.4,,,,,,,,6.2,3000,17.8,80
182,2017-06-22,4,8,10,1102,846,10,80,25.7,19.6,1405,426,1009.4,1010.5,1008.3,,,,,,,,5.5,13000,17.6,74
182,2017-06-23,3.3,8,10,1033,1458,30,340,24,20.3,1408,131,1007.2,1009.2,1005.7,,,,,,,,6.9,11000,18,77
182,2017-06-24,4.8,13,18,1419,1343,70,70,23.9,20.2,1225,349,1003.2,1006.9,1001.1,1.5,1,808,1,.5,,,6.8,2000,18.5,81
182,2017-06-25,2.8,7,10,1217,1228,320,330,25.2,20.7,1159,211,1003.3,1005.6,1001.4,,,,,,,,6.6,200,18.6,79
182,2017-06-26,2.7,7,9,1257,1145,30,50,25,21.7,1031,51,1006.5,1008.9,1005.1,.5,.5,1600,.5,.5,,,8,2000,19.5,82
182,2017-06-27,4.2,11,15,1302,1303,60,70,25.7,20.9,1528,609,1010.2,1012.1,1008.3,0,0,,0,0,,,7.2,2000,19.4,82
182,2017-06-28,3,8,10,1249,1103,40,60,26.3,19.8,1227,515,1012.8,1013.9,1011.8,,,,,,,,6.9,2500,18.6,76
182,2017-06-29,8.2,21,26,1204,1159,80,90,22.6,20.7,244,956,1011,1013.7,1008.7,34.5,6.5,931,4.5,3,,,7.8,2000,19.3,87
182,2017-06-30,4.2,8,11,912,917,80,80,25.7,21.3,1422,255,1009.3,1010.5,1007.9,0,0,,0,0,,,6.8,2500,20.8,86
182,2017-07-01,5.3,16,23,1722,1717,220,230,31.6,22.8,1634,211,1009,1010.7,1007.7,,,,,,,,5.2,2500,21.1,76
